"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"15150099999","46.521946","26.910278","185.01","1973-01-01","  19.1","000000","999.9","  32.0","  15.8"," 11.7"," 0.00","1044.5","  0.4","999.9","  25.9","  6.5","  8.3"
"15150099999","46.521946","26.910278","185.01","1973-01-02","  27.4","000000","999.9","  42.8","  23.0"," 13.6"," 0.00","1037.6","  0.4","999.9","  31.1","  6.2"," 10.4"
"15150099999","46.521946","26.910278","185.01","1973-01-03","  30.2","100000","999.9","  33.8","  28.4"," 11.7"," 0.00","1029.7","999.9","999.9","  30.7","  3.0","  6.4"
"15150099999","46.521946","26.910278","185.01","1973-01-04","  27.5","100000","999.9","  35.6","  24.8","  9.7"," 0.00","1027.2","999.9","999.9","  30.4","  2.1","  3.9"
"15150099999","46.521946","26.910278","185.01","1973-01-05","  29.3","000000","999.9","  35.6","  28.4"," 11.7"," 0.00","1032.5","999.9","999.9","  32.0","  3.0","  5.6"
"15150099999","46.521946","26.910278","185.01","1973-01-06","  30.5","000000","999.9","  37.4","  24.8","  5.8"," 0.00","1034.5","999.9","999.9","  31.2","  2.7","  0.8"
"15150099999","46.521946","26.910278","185.01","1973-01-07","  29.3","110000","999.9","  33.8","  23.0"," 13.6"," 0.00","1032.4","999.9","999.9","  29.3","  1.5","  8.5"
"15150099999","46.521946","26.910278","185.01","1973-01-08","  30.9","001000","999.9","  35.6","  26.6","  7.8"," 0.02","1032.2","  0.4","999.9","  31.1","  2.5","  1.5"
"15150099999","46.521946","26.910278","185.01","1973-01-09","  29.7","000000","999.9","  32.0","  24.8"," 15.5"," 0.00","1027.2","999.9","999.9","  31.0","  8.2","  7.2"
"15150099999","46.521946","26.910278","185.01","1973-01-10","  25.9","000000","999.9","  35.6","  24.8"," 13.6"," 0.00","1026.3","999.9","999.9","  30.4","  6.1","  6.6"
"15150099999","46.521946","26.910278","185.01","1973-01-11","  26.6","001000","999.9","  39.2","  24.8"," 19.4"," 0.01","1016.3","999.9","999.9","  32.2","  6.8"," 14.1"
"15150099999","46.521946","26.910278","185.01","1973-01-12","  23.3","001000","999.9","  32.0","  28.4"," 23.3"," 0.00","1024.7","999.9","999.9","  29.4","  8.1"," 19.1"
"15150099999","46.521946","26.910278","185.01","1973-01-13","  14.5","001000","999.9","  26.6","  15.8"," 31.1"," 0.01","1031.1","999.9","999.9","  22.0","  8.2"," 22.2"
"15150099999","46.521946","26.910278","185.01","1973-01-14","  16.0","000000","999.9","  32.0","   8.6"," 15.5"," 0.00","1032.5","999.9","999.9","  20.8","  4.0","  2.4"
"15150099999","46.521946","26.910278","185.01","1973-01-15","  24.6","001000","999.9","  28.4","  23.0","  9.7"," 0.01","1023.4","999.9","999.9","  26.1","  4.6","  6.1"
"15150099999","46.521946","26.910278","185.01","1973-01-16","  18.6","000000","999.9","  24.8","  14.0","  3.9"," 0.01","1027.1","  0.4","999.9","  22.0","  4.3","  1.7"
"15150099999","46.521946","26.910278","185.01","1973-01-17","  20.4","001000","999.9","  26.6","  12.2"," 11.7"," 0.00","1026.8","  0.4","999.9","  20.4","  2.3","  6.9"
"15150099999","46.521946","26.910278","185.01","1973-01-18","  29.5","100000","999.9","  33.8","  23.0","  9.7"," 0.00","1023.4","  0.4","999.9","  29.5","  1.5","  7.5"
"15150099999","46.521946","26.910278","185.01","1973-01-20","  30.5","011000","999.9","  33.8","  26.6","  5.8"," 0.31","1023.1","999.9","999.9","  30.5","  0.9","  1.3"
"15150099999","46.521946","26.910278","185.01","1973-01-21","  17.6","001000","999.9","  26.6","  14.0","  9.7"," 0.20","1030.6","  3.1","999.9","  18.7","  3.2","  6.6"
"15150099999","46.521946","26.910278","185.01","1973-01-22","  12.9","001000","999.9","  17.6","  14.0","  9.7"," 0.00","1033.1","  3.1","999.9","  15.4","  4.2","  6.3"
"15150099999","46.521946","26.910278","185.01","1973-01-23","  14.9","000000","999.9","  19.4","  14.0","  3.9"," 0.00","1036.6","  3.1","999.9","  17.4","  3.2","  1.9"
"15150099999","46.521946","26.910278","185.01","1973-01-24","  16.6","000000","999.9","  23.0","  17.6","  7.8"," 0.00","1039.7","  3.1","999.9","  20.3","  3.0","  2.4"
