"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"33745099999","47.7833333","27.95","102.0","1973-01-01","  12.9","000000","999.9","  41.0","  14.0","  7.8"," 0.00","1044.9","999.9","999.9","  23.7","  7.5","  1.6"
"33745099999","47.7833333","27.95","102.0","1973-01-02","  14.9","000000","999.9","  48.2","  17.6"," 17.5"," 0.00","1037.3","999.9","999.9","  34.0","  7.2","  3.3"
"33745099999","47.7833333","27.95","102.0","1973-01-03","  24.5","000000","999.9","  39.2","  30.2","  3.9"," 0.00","1029.5","999.9","999.9","  32.9","  8.3","  1.0"
"33745099999","47.7833333","27.95","102.0","1973-01-04","  28.8","010000","999.9","  32.0","  30.2","  3.9"," 0.00","9999.9","999.9","999.9","  31.5","  6.1","  1.0"
"33745099999","47.7833333","27.95","102.0","1973-01-05","  26.1","000000","999.9","  32.0","  24.8","  7.8"," 0.00","1031.9","999.9","999.9","  30.2","  2.3","  5.3"
"33745099999","47.7833333","27.95","102.0","1973-01-06","  27.7","000000","999.9","  33.8","  28.4","  5.8"," 0.00","1034.1","999.9","999.9","  32.4","  3.2","  4.7"
"33745099999","47.7833333","27.95","102.0","1973-01-07","  29.9","000000","999.9","  33.8","  30.2"," 11.7"," 0.00","1031.8","999.9","999.9","  32.0","  1.5","  8.3"
"33745099999","47.7833333","27.95","102.0","1973-01-08","  28.7","000000","999.9","  33.8","  32.0"," 13.6"," 0.00","1031.9","999.9","999.9","  33.0","  3.9","  2.5"
"33745099999","47.7833333","27.95","102.0","1973-01-09","  25.7","000000"," 23.3","  33.8","  30.2"," 11.7"," 0.00","1026.8","999.9","999.9","  32.0","  7.8","  8.7"
"33745099999","47.7833333","27.95","102.0","1973-01-12","  14.4","000000"," 31.1","  28.4","  23.0"," 15.5"," 0.00","1027.1","999.9","999.9","  26.6"," 10.9"," 14.6"
"33745099999","47.7833333","27.95","102.0","1973-01-14","   9.1","000000","999.9","  28.4","   5.0","  7.8"," 0.00","1031.0","  0.4","999.9","  16.1","  5.0","  3.9"
"33745099999","47.7833333","27.95","102.0","1973-01-15","  20.5","001000","999.9","  30.2","  23.0","  9.7"," 0.00","1023.7","  0.4","999.9","  27.0","  8.9","  8.5"
"33745099999","47.7833333","27.95","102.0","1973-01-16","   8.4","000000","999.9","  21.2","   8.6","  5.8"," 0.00","1029.1","  0.4","999.9","  14.4","  4.8","  3.4"
"33745099999","47.7833333","27.95","102.0","1973-01-17","  13.7","001000","999.9","  23.0","  12.2","  9.7"," 0.00","1028.4","  0.4","999.9","  18.2","  3.0","  8.1"
"33745099999","47.7833333","27.95","102.0","1973-01-18","  23.7","000000","999.9","  30.2","  19.4","  9.7"," 0.00","1024.9","  0.4","999.9","  26.9","  1.8","  6.5"
"33745099999","47.7833333","27.95","102.0","1973-01-20","  23.3","001000"," 23.3","  32.0","  23.0"," 17.5"," 0.00","1025.2","999.9","999.9","  28.1","  2.9"," 13.3"
"33745099999","47.7833333","27.95","102.0","1973-01-21","   4.1","001000","999.9","  17.6","  10.4"," 15.5"," 0.09","1032.6","  1.6","999.9","  13.7","  4.3"," 12.3"
"33745099999","47.7833333","27.95","102.0","1973-01-22","   1.0","000000","999.9","  12.2","   8.6"," 11.7"," 0.00","1034.9","999.9","999.9","  10.8","  6.3"," 10.5"
"33745099999","47.7833333","27.95","102.0","1973-01-24","   4.0","000000","999.9","  19.4","   6.8"," 11.7"," 0.00","1038.9","  1.6","999.9","  15.0","  7.3","  6.7"
"33745099999","47.7833333","27.95","102.0","1973-01-26","  -0.6","000000","999.9","  32.0","   1.4","  1.9"," 1.10","1033.9","999.9","999.9","  12.9","  7.1","  0.2"
"33745099999","47.7833333","27.95","102.0","1973-01-28","   6.3","000000","999.9","  28.4","   5.0","  1.9"," 0.00","1009.6","999.9","999.9","  13.1","  5.9","  0.5"
"33745099999","47.7833333","27.95","102.0","1973-01-29","  14.9","000000","999.9","  26.6","   8.6","999.9"," 0.00","1016.7","999.9","999.9","  19.7","  4.3","  0.0"
"33745099999","47.7833333","27.95","102.0","1973-01-30","  20.2","001000","999.9","  35.6","  23.0","  3.9"," 0.00","1012.2","  0.4","999.9","  26.6","  4.5","  1.4"
"33745099999","47.7833333","27.95","102.0","1973-02-01","   9.7","001000","999.9","  26.6","   3.2","999.9"," 0.13","1023.2","  3.1","999.9","  14.7","  4.8","  0.0"
"33745099999","47.7833333","27.95","102.0","1973-02-02","   3.2","100000","999.9","  17.6","  -0.4","999.9"," 0.00","1029.7","999.9","999.9","   5.3","  1.3","  0.0"
"33745099999","47.7833333","27.95","102.0","1973-02-03","  15.8","100000","999.9","  26.6","  -0.4","999.9"," 0.00","9999.9","  3.1","999.9","  18.9","  0.7","999.9"
