"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"12376799999","53.1","17.983","235.0","2005-01-01","  33.8","010000","999.9","  44.6","  30.0"," 11.7","99.99","1018.4","999.9","999.9","  38.2","  5.6","  7.9"
"12376799999","53.1","17.983","235.0","2005-01-02","  32.5","010000"," 29.9","  43.5","  32.7"," 19.4","99.99","1007.7","999.9","999.9","  38.5","  5.5"," 14.2"
"12376799999","53.1","17.983","235.0","2005-01-03","  30.4","011000"," 28.0","  38.7","  34.7"," 17.5","99.99","1012.1","999.9","999.9","  36.3","  5.7"," 14.3"
"12376799999","53.1","17.983","235.0","2005-01-04","  41.0","010000"," 28.0","  44.8","  38.7"," 27.2","99.99","1010.9","999.9","999.9","  43.2","  3.9"," 15.9"
"12376799999","53.1","17.983","235.0","2005-01-05","  35.9","010000"," 29.9","  43.7","  35.6"," 19.4","99.99","1016.5","999.9","999.9","  41.2","  6.0"," 13.9"
"12376799999","53.1","17.983","235.0","2005-01-06","  35.0","010000","999.9","  42.8","  35.4"," 15.9","99.99","1016.4","999.9","999.9","  38.8","  5.4"," 11.4"
"12376799999","53.1","17.983","235.0","2005-01-07","  36.7","010000","999.9","  48.9","  37.4"," 19.4","99.99","1018.2","999.9","999.9","  44.1","  6.1"," 16.9"
"12376799999","53.1","17.983","235.0","2005-01-08","  36.0","000000"," 40.0","  52.5","  44.4"," 27.2"," 0.00","1010.5","999.9","999.9","  48.7","  6.2"," 17.7"
"12376799999","53.1","17.983","235.0","2005-01-09","  30.6","010000"," 40.0","  44.6","  38.8"," 23.3","99.99","1016.2","999.9","999.9","  42.2","  6.0"," 17.8"
"12376799999","53.1","17.983","235.0","2005-01-10","  38.5","010000","999.9","  50.4","  40.6"," 17.5","99.99","1018.9","999.9","999.9","  45.8","  6.1"," 14.2"
"12376799999","53.1","17.983","235.0","2005-01-11","  40.3","010000","999.9","  45.9","  42.1"," 13.6","99.99","1021.7","999.9","999.9","  44.4","  5.1"," 10.0"
"12376799999","53.1","17.983","235.0","2005-01-12","  40.0","010000","999.9","  46.0","  39.2"," 13.6","99.99","1019.6","999.9","999.9","  43.3","  4.1","  9.5"
"12376799999","53.1","17.983","235.0","2005-01-13","  33.8","010000","999.9","  41.4","  36.0"," 17.5","99.99","1017.2","999.9","999.9","  38.8","  6.1"," 12.5"
"12376799999","53.1","17.983","235.0","2005-01-14","  32.1","010000","999.9","  39.2","  34.7"," 23.3","99.99","1020.8","999.9","999.9","  37.2","  6.0"," 10.7"
"12376799999","53.1","17.983","235.0","2005-01-15","  28.1","100000","999.9","  36.0","  23.9","  7.8"," 0.00","1030.1","999.9","999.9","  30.4","  4.1","  4.0"
