"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"02807599999","68.362586","23.424322","306.32","1998-04-19","9999.9","001000","999.9","  30.2","  23.0","  4.1","99.99","9999.9","999.9","999.9","  27.5","999.9","  3.0"
"02807599999","68.362586","23.424322","306.32","1998-04-20","  31.6","111000","999.9","  33.8","  30.2","  4.1","99.99","9999.9","999.9","999.9","  32.4","  1.5","  3.4"
"02807599999","68.362586","23.424322","306.32","1998-04-27","  32.4","011000","999.9","  33.8","  32.0","  7.0","99.99","9999.9","999.9","999.9","  33.4","  3.0","  4.5"
"02807599999","68.362586","23.424322","306.32","1998-04-29","  28.8","011000","999.9","  32.0","  28.4","  8.9"," 0.00","9999.9","999.9","999.9","  30.7","  5.8","  5.0"
"02807599999","68.362586","23.424322","306.32","1998-04-30","  33.8","010000","999.9","  35.6","  33.8","999.9"," 0.00","9999.9","999.9","999.9","  34.7","  6.3","999.9"
"02807599999","68.362586","23.424322","306.32","1998-05-07","  28.7","001000","999.9","  32.0","  28.4"," 14.0","99.99","9999.9","999.9","999.9","  29.9","  1.5","  8.6"
"02807599999","68.362586","23.424322","306.32","1998-05-08","  29.8","001000","999.9","  33.8","  32.0","  7.0","99.99","9999.9","999.9","999.9","  32.9","999.9","  1.7"
"02807599999","68.362586","23.424322","306.32","1998-05-10","  35.3","010000","999.9","  39.2","  35.6","  7.0","99.99","9999.9","999.9","999.9","  36.6","  6.0","  6.3"
"02807599999","68.362586","23.424322","306.32","1998-05-15","  40.5","110000","999.9","  42.8","  41.0","  4.1"," 0.00","9999.9","999.9","999.9","  42.0","  2.6","  2.7"
"02807599999","68.362586","23.424322","306.32","1998-07-05","  48.8","010000","999.9","  51.8","  44.6","  5.1","99.99","9999.9","999.9","999.9","  50.0","  5.4","  4.7"
"02807599999","68.362586","23.424322","306.32","1998-07-31","  50.0","010000","999.9","  53.6","  50.0","999.9"," 0.00","9999.9","999.9","999.9","  51.4","  3.1","  5.4"
"02807599999","68.362586","23.424322","306.32","1998-08-07","  46.4","000000","999.9","  55.4","  51.8","  6.0"," 0.00","9999.9","999.9","999.9","  54.0","  7.0","  4.8"
"02807599999","68.362586","23.424322","306.32","1998-08-08","  45.9","010000","999.9","  59.0","  44.6","  8.9"," 0.00","9999.9","999.9","999.9","  53.0","  7.0","  3.0"
"02807599999","68.362586","23.424322","306.32","1998-08-09","  47.4","010000","999.9","  55.4","  48.2","  8.9"," 0.00","9999.9","999.9","999.9","  51.8","  6.7","  3.5"
