"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"02978099999","60.1833333","24.95","4.0","2008-01-16","  33.9","010000","999.9","  39.2","  36.9"," 11.7","99.99","1005.0","999.9","004.6","  38.2","  5.1","  9.6"
"02978099999","60.1833333","24.95","4.0","2008-01-17","  35.2","010000","999.9","  38.8","  37.0"," 11.7"," 0.08","1009.9","999.9","009.4","  37.9","  3.4"," 10.5"
"02978099999","60.1833333","24.95","4.0","2008-01-18","  34.9","010000","999.9","  38.3","  36.0","999.9"," 0.01","1013.5","999.9","013.1","  37.0","  3.6","999.9"
"02978099999","60.1833333","24.95","4.0","2008-01-19","  35.5","011000","999.9","  40.1","  34.5","999.9"," 0.59"," 990.8","999.9","990.4","  37.4","  7.4","999.9"
"02978099999","60.1833333","24.95","4.0","2008-01-20","  30.4","010000","999.9","  38.8","  32.9","999.9"," 0.02"," 993.5","999.9","993.0","  36.1"," 25.6","999.9"
"02978099999","60.1833333","24.95","4.0","2008-01-21","  34.0","011000","999.9","  37.9","  32.2","  9.7"," 0.12"," 990.7","999.9","990.2","  35.8"," 11.5","  7.4"
"02978099999","60.1833333","24.95","4.0","2008-01-22","  26.5","011000","999.9","  34.2","  28.6"," 13.6"," 0.02"," 996.7","999.9","996.3","  29.8"," 15.6"," 11.3"
"02978099999","60.1833333","24.95","4.0","2008-01-23","  24.0","001000","999.9","  31.1","  23.7"," 11.7","99.99","1017.3","999.9","016.9","  28.6"," 27.0","  7.0"
"02978099999","60.1833333","24.95","4.0","2008-01-24","  30.0","011000","999.9","  39.2","  23.5"," 17.5"," 0.24","1009.4","999.9","009.0","  33.3"," 16.9"," 10.1"
"02978099999","60.1833333","24.95","4.0","2008-01-25","  32.5","011000","999.9","  39.2","  34.2"," 11.7"," 0.04"," 994.4","999.9","993.9","  36.1"," 17.0","  8.7"
"02978099999","60.1833333","24.95","4.0","2008-01-26","  29.6","011000","999.9","  36.9","  29.7"," 17.5"," 0.00"," 989.6","999.9","989.2","  34.4"," 24.5","  9.6"
"02978099999","60.1833333","24.95","4.0","2008-01-27","  25.1","001000","999.9","  34.2","  27.7"," 15.5","99.99"," 998.1","999.9","997.6","  29.7"," 30.4"," 10.0"
"02978099999","60.1833333","24.95","4.0","2008-01-28","  26.4","000000","999.9","  36.3","  22.5"," 11.7"," 0.00","1018.6","999.9","018.1","  30.6"," 26.0","  7.3"
"02978099999","60.1833333","24.95","4.0","2008-01-29","  36.6","010000","999.9","  40.6","  35.2"," 11.7"," 0.00","1010.0","999.9","009.6","  37.9","  5.9","  7.7"
"02978099999","60.1833333","24.95","4.0","2008-01-30","  34.2","011000","999.9","  41.0","  32.2","  9.7"," 0.39","1005.5","999.9","005.0","  36.0"," 14.0","  6.4"
"02978099999","60.1833333","24.95","4.0","2008-01-31","  29.5","011000","999.9","  38.3","  30.0"," 13.6"," 0.08","1003.1","999.9","002.6","  33.7"," 26.2","  8.8"
"02978099999","60.1833333","24.95","4.0","2008-02-01","  30.5","011000","999.9","  36.1","  32.2"," 17.5"," 0.08"," 994.6","999.9","994.1","  34.5"," 12.7"," 14.4"
"02978099999","60.1833333","24.95","4.0","2008-02-02","  33.0","011000","999.9","  38.8","  32.7"," 17.5"," 0.14"," 986.8","999.9","986.3","  37.1"," 10.7"," 13.4"
"02978099999","60.1833333","24.95","4.0","2008-02-03","  21.3","011000","999.9","  39.0","  29.5"," 21.4"," 0.02","1003.2","999.9","002.7","  31.6"," 21.1"," 12.2"
"02978099999","60.1833333","24.95","4.0","2008-02-04","  32.8","011000","999.9","  37.0","  29.5","  9.7"," 0.35","1015.4","999.9","014.9","  34.3","  5.0","  5.4"
"02978099999","60.1833333","24.95","4.0","2008-02-05","  32.8","011000","999.9","  36.5","  33.8","  7.8"," 0.01","1014.8","999.9","014.3","  35.1","  4.6","  6.1"
"02978099999","60.1833333","24.95","4.0","2008-02-06","  33.8","010000","999.9","  37.2","  35.1","  9.7"," 0.04","1013.6","999.9","013.1","  36.2","  7.8","  6.2"
"02978099999","60.1833333","24.95","4.0","2008-02-07","  33.6","111000","999.9","  35.8","  33.1","  9.7"," 0.20","1018.4","999.9","017.9","  34.3","  2.3","  7.0"
"02978099999","60.1833333","24.95","4.0","2008-02-08","  33.5","111000","999.9","  37.6","  33.6","  7.8","99.99","1029.8","999.9","029.4","  35.7"," 12.2","  5.0"
"02978099999","60.1833333","24.95","4.0","2008-02-09","  36.3","110000","999.9","  38.8","  34.9","  9.7"," 0.00","1032.6","999.9","032.1","  37.6","  6.3","  5.7"
"02978099999","60.1833333","24.95","4.0","2008-02-10","  37.5","010000","999.9","  39.0","  37.2","  7.8"," 0.04","1031.4","999.9","031.0","  38.2","  2.6","  5.6"
"02978099999","60.1833333","24.95","4.0","2008-02-11","  35.5","010000","999.9","  39.2","  34.3","  7.8"," 0.20","1033.4","999.9","033.0","  36.3","  5.2","  4.3"
"02978099999","60.1833333","24.95","4.0","2008-02-12","  32.6","010000","999.9","  36.3","  32.4","  9.7","99.99","1033.9","999.9","033.4","  34.6","  8.1","  5.0"
"02978099999","60.1833333","24.95","4.0","2008-02-13","  28.0","010000","999.9","  36.1","  30.7"," 17.5"," 0.02","1023.0","999.9","022.6","  33.8"," 18.1"," 11.2"
"02978099999","60.1833333","24.95","4.0","2008-02-14","  16.5","001000","999.9","  32.5","  25.0"," 19.4","99.99","1021.2","999.9","020.7","  28.6"," 24.2"," 15.5"
"02978099999","60.1833333","24.95","4.0","2008-02-15","   8.1","001000","999.9","  27.1","  18.1"," 17.5","99.99","1029.5","999.9","029.0","  22.5"," 26.6"," 13.8"
"02978099999","60.1833333","24.95","4.0","2008-02-16","  13.5","000000","999.9","  32.5","  12.6"," 11.7"," 0.00","1034.3","999.9","033.8","  22.1"," 27.1","  8.0"
"02978099999","60.1833333","24.95","4.0","2008-02-17","  28.3","011000","999.9","  38.5","  28.6"," 11.7"," 0.00","1008.8","999.9","008.4","  33.4"," 27.3","  9.6"
"02978099999","60.1833333","24.95","4.0","2008-02-18","  27.9","011000","999.9","  35.6","  24.8"," 13.6","99.99","1006.4","999.9","005.9","  31.0"," 26.1","  8.1"
"02978099999","60.1833333","24.95","4.0","2008-02-19","  19.6","000000","999.9","  34.2","  22.8"," 15.5"," 0.03","1012.9","999.9","012.5","  28.2"," 30.7"," 10.0"
"02978099999","60.1833333","24.95","4.0","2008-02-20","  30.8","011000","999.9","  36.5","  23.5","  7.8"," 0.12","1010.6","999.9","010.2","  32.2"," 10.6","  4.9"
"02978099999","60.1833333","24.95","4.0","2008-02-21","  33.5","111000","999.9","  36.7","  32.9","  7.8"," 0.00","1005.8","999.9","005.3","  34.9","  4.9","  5.6"
"02978099999","60.1833333","24.95","4.0","2008-02-22","  33.9","010000","999.9","  46.0","  35.1"," 19.4"," 0.12"," 980.8","999.9","980.4","  39.5"," 12.3"," 11.2"
"02978099999","60.1833333","24.95","4.0","2008-02-23","  30.2","010000","999.9","  42.1","  33.4"," 17.5","99.99"," 986.8","999.9","986.4","  37.0"," 23.6"," 12.1"
"02978099999","60.1833333","24.95","4.0","2008-02-24","  33.2","011000","999.9","  40.3","  30.6","  9.7"," 0.12"," 997.2","999.9","996.8","  35.6"," 11.0","  5.8"
"02978099999","60.1833333","24.95","4.0","2008-02-25","  32.7","010000","999.9","  44.4","  35.2"," 17.5"," 0.12"," 991.4","999.9","990.9","  39.6"," 25.9"," 11.0"
"02978099999","60.1833333","24.95","4.0","2008-02-26","  29.8","011000","999.9","  38.3","  32.0"," 11.7"," 0.00"," 997.3","999.9","996.9","  35.5"," 17.0","  7.7"
"02978099999","60.1833333","24.95","4.0","2008-02-27","  37.0","011000","999.9","  39.2","  32.9"," 11.7"," 0.47"," 981.8","999.9","981.4","  37.9","  5.8","  8.0"
"02978099999","60.1833333","24.95","4.0","2008-02-28","  29.1","011000","999.9","  38.7","  30.7"," 17.5"," 0.03"," 991.6","999.9","991.2","  33.0"," 23.9"," 11.2"
"02978099999","60.1833333","24.95","4.0","2008-02-29","  30.5","011000","999.9","  36.7","  28.4","  7.8"," 0.12"," 997.7","999.9","997.2","  32.5"," 12.8","  5.2"
"02978099999","60.1833333","24.95","4.0","2008-03-01","  29.9","001000","999.9","  34.0","  32.2"," 13.6"," 0.02"," 984.7","999.9","984.2","  33.1"," 18.6","  9.7"
"02978099999","60.1833333","24.95","4.0","2008-03-02","  29.1","011000","999.9","  33.1","  30.7"," 17.5"," 0.28"," 979.6","999.9","979.2","  32.1"," 11.1"," 11.1"
"02978099999","60.1833333","24.95","4.0","2008-03-03","  26.1","001000","999.9","  32.0","  27.3","  5.8"," 0.08"," 986.3","999.9","985.9","  29.7"," 12.7","  4.7"
"02978099999","60.1833333","24.95","4.0","2008-03-04","  21.0","011000","999.9","  29.7","  21.9"," 15.5"," 0.19"," 993.6","999.9","993.1","  25.2"," 12.9"," 10.0"
"02978099999","60.1833333","24.95","4.0","2008-03-05","  18.1","010000","999.9","  32.7","  21.0"," 13.6","99.99","1004.7","999.9","004.3","  27.0"," 28.5","  9.7"
"02978099999","60.1833333","24.95","4.0","2008-03-06","  29.9","011000","999.9","  36.1","  25.7"," 17.5"," 0.16"," 993.5","999.9","993.0","  32.8"," 20.6"," 10.0"
"02978099999","60.1833333","24.95","4.0","2008-03-07","  28.2","011000","999.9","  38.7","  30.6"," 17.5","99.99"," 999.0","999.9","998.5","  34.6"," 29.0"," 10.9"
"02978099999","60.1833333","24.95","4.0","2008-03-08","  30.2","111000","999.9","  35.2","  28.9","  7.8"," 0.08","1008.8","999.9","008.3","  33.2"," 15.5","  5.3"
"02978099999","60.1833333","24.95","4.0","2008-03-09","  34.7","000000","999.9","  39.0","  34.0"," 11.7"," 0.00","1006.1","999.9","005.6","  36.5","  4.5","  7.4"
"02978099999","60.1833333","24.95","4.0","2008-03-10","  36.5","010000","999.9","  45.1","  37.6"," 15.5","99.99","1003.9","999.9","003.4","  40.7","  4.6","  9.2"
"02978099999","60.1833333","24.95","4.0","2008-03-11","  34.6","000000","999.9","  45.1","  36.3","  9.7"," 0.00","1003.0","999.9","002.6","  39.8","  6.9","  7.4"
"02978099999","60.1833333","24.95","4.0","2008-03-12","  34.1","011000","999.9","  43.9","  34.7"," 15.5","99.99"," 993.4","999.9","992.9","  36.8","  6.3","  9.6"
"02978099999","60.1833333","24.95","4.0","2008-03-13","  33.3","111000","999.9","  36.1","  32.9"," 13.6"," 0.40"," 989.1","999.9","988.6","  34.0","  3.3","  8.7"
"02978099999","60.1833333","24.95","4.0","2008-03-14","  34.5","110000","999.9","  40.3","  33.8","  5.8","99.99"," 996.2","999.9","995.7","  36.2"," 10.0","  4.0"
"02978099999","60.1833333","24.95","4.0","2008-03-15","  30.3","011000","999.9","  36.5","  30.0","  7.8"," 0.11"," 999.8","999.9","999.3","  32.7","  9.0","  6.2"
