"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"11933099999","48.9333333","22.0","177.0","1978-06-08","  53.6","110010","999.9","  69.8","  55.4","  6.0"," 0.04","9999.9","999.9","999.9","  61.7"," 10.1","  4.3"
"11933099999","48.9333333","22.0","177.0","1978-06-09","  42.8","000000","999.9","  64.4","  48.2","  6.0"," 0.01","9999.9","999.9","999.9","  55.8"," 11.8","  3.5"
"11933099999","48.9333333","22.0","177.0","1978-06-12","  36.5","000000","999.9","  59.0","  48.2","  7.0"," 0.00","9999.9","999.9","999.9","  52.2"," 21.0","  5.0"
"11933099999","48.9333333","22.0","177.0","1978-06-13","  34.2","100000","999.9","  53.6","  35.6","  5.1"," 0.00","9999.9","999.9","999.9","  46.0"," 19.3","  3.6"
"11933099999","48.9333333","22.0","177.0","1978-06-17","  43.2","010000","999.9","  55.4","  41.0","  4.1"," 0.16","9999.9","999.9","999.9","  48.2","  8.2","  2.2"
"11933099999","48.9333333","22.0","177.0","1978-06-20","  38.8","010000","999.9","  57.2","  41.0","  1.9"," 0.00","9999.9","999.9","999.9","  51.4"," 27.2","  1.2"
"11933099999","48.9333333","22.0","177.0","1978-06-21","  40.3","000000","999.9","  64.4","  44.6","  2.9"," 0.00","9999.9","999.9","999.9","  56.1"," 13.7","  1.9"
"11933099999","48.9333333","22.0","177.0","1978-06-28","  40.6","010000","999.9","  44.6","  41.0","  5.1"," 0.53","9999.9","999.9","999.9","  42.3","  4.4","  3.2"
"11933099999","48.9333333","22.0","177.0","1978-06-29","  38.5","010000","999.9","  46.4","  39.2","  9.9"," 0.35","9999.9","999.9","999.9","  44.6"," 15.3","  6.6"
"11933099999","48.9333333","22.0","177.0","1978-07-01","  46.4","000000","999.9","  64.4","  46.4","  4.1"," 0.00","9999.9","999.9","999.9","  57.9"," 10.2","  2.6"
"11933099999","48.9333333","22.0","177.0","1978-07-02","  48.6","110000","999.9","  64.4","  50.0","  4.1"," 0.03","9999.9","999.9","999.9","  54.1","  3.3","  1.7"
"11933099999","48.9333333","22.0","177.0","1978-07-03","  44.2","000000","999.9","  60.8","  41.0","  5.1"," 0.00","9999.9","999.9","999.9","  54.1","  8.1","  3.3"
"11933099999","48.9333333","22.0","177.0","1988-06-30","  50.8","010000","999.9","  68.4","  52.5","  5.8"," 0.08","9999.9","999.9","865.1","  62.7","  6.3","  3.5"
"11933099999","48.9333333","22.0","177.0","1988-07-01","  52.8","000000","999.9","  71.8","  54.5","  9.7"," 0.00","9999.9","999.9","861.7","  65.3","  8.0","  5.8"
"11933099999","48.9333333","22.0","177.0","1988-07-02","  52.0","110010","999.9","  59.0","  54.9","  1.9"," 1.02","9999.9","999.9","853.8","  56.3"," 13.2","  1.9"
"11933099999","48.9333333","22.0","177.0","1988-07-03","  50.2","000000","999.9","  71.6","  47.3","  7.8"," 0.00","9999.9","999.9","857.2","  61.6"," 14.3","  5.1"
"11933099999","48.9333333","22.0","177.0","1988-07-04","  52.2","010000","999.9","  69.1","  60.8","  9.7"," 0.02","9999.9","999.9","861.5","  64.1"," 12.3","  5.3"
"11933099999","48.9333333","22.0","177.0","1988-07-05","  53.0","000000","999.9","  74.8","  57.7"," 13.6"," 0.08","9999.9","999.9","863.7","  67.6"," 24.9","  9.3"
"11933099999","48.9333333","22.0","177.0","1988-07-06","  52.2","010010","999.9","  81.9","  59.4"," 15.5"," 0.02","9999.9","999.9","864.5","  70.1"," 15.7","  7.8"
"11933099999","48.9333333","22.0","177.0","1988-07-07","  50.8","000000","999.9","  73.4","  47.8","  9.7"," 0.00","9999.9","999.9","866.3","  64.6"," 18.3","  4.7"
"11933099999","48.9333333","22.0","177.0","1988-07-08","  51.5","110010","999.9","  66.2","  52.5","  5.8"," 0.02","9999.9","999.9","865.6","  59.1","  3.6","  3.5"
"11933099999","48.9333333","22.0","177.0","1988-07-09","  47.9","010010","999.9","  61.7","  48.4","  5.8"," 0.08","9999.9","999.9","864.0","  55.5"," 13.4","  3.9"
"11933099999","48.9333333","22.0","177.0","1988-07-10","  37.3","000000","999.9","  59.7","  47.3","  9.7"," 0.01","9999.9","999.9","867.1","  53.6"," 14.4","  7.0"
"11933099999","48.9333333","22.0","177.0","1988-07-11","  42.8","000000","999.9","  61.0","  42.1","  3.9"," 0.00","9999.9","999.9","867.0","  55.8"," 13.0","  2.3"
"11933099999","48.9333333","22.0","177.0","1988-07-12","  46.5","000010","999.9","  68.9","  45.9","  9.7"," 0.00","9999.9","999.9","864.4","  61.4"," 14.9","  3.9"
"11933099999","48.9333333","22.0","177.0","1988-07-13","  51.9","010010","999.9","  63.5","  55.9","  5.8"," 0.35","9999.9","999.9","862.8","  58.1","  6.8","  4.4"
"11933099999","48.9333333","22.0","177.0","1988-07-14","  49.6","010000","999.9","  65.3","  48.7","  9.7"," 0.43","9999.9","999.9","861.3","  58.0","  9.1","  7.0"
"11933099999","48.9333333","22.0","177.0","1988-07-15","  49.0","000000","999.9","  60.6","  44.6","  3.9"," 0.00","9999.9","999.9","861.8","  54.9"," 18.6","  2.9"
"11933099999","48.9333333","22.0","177.0","1988-07-16","  48.0","110000","999.9","  55.2","  45.3"," 13.6"," 0.24","9999.9","999.9","860.1","  49.6","  4.2","  4.7"
"11933099999","48.9333333","22.0","177.0","1988-07-17","  46.0","100010","999.9","  57.9","  43.7","  9.7"," 0.00","9999.9","999.9","861.5","  52.1"," 10.3","  5.8"
"11933099999","48.9333333","22.0","177.0","1988-07-18","  43.2","000000","999.9","  53.6","  44.1","  5.8"," 0.00","9999.9","999.9","862.2","  51.5"," 14.8","  4.4"
"11933099999","48.9333333","22.0","177.0","1988-07-19","  45.8","110000","999.9","  51.1","  45.1","  9.7"," 0.20","9999.9","999.9","860.8","  47.9","  4.5","  5.4"
"11933099999","48.9333333","22.0","177.0","1988-07-20","  44.0","010000","999.9","  57.0","  41.5","  7.8"," 0.00","9999.9","999.9","864.0","  51.2","  6.4","  5.3"
"11933099999","48.9333333","22.0","177.0","1988-07-21","  47.0","000000","999.9","  64.8","  45.0","  9.7"," 0.00","9999.9","999.9","865.7","  58.6","  8.8","  6.2"
"11933099999","48.9333333","22.0","177.0","1988-07-22","  52.8","000000","999.9","  71.6","  54.3","  9.7"," 0.00","9999.9","999.9","866.0","  65.3"," 12.8","  5.1"
"11933099999","48.9333333","22.0","177.0","1988-07-23","  57.6","000000","999.9","  78.1","  59.2","  9.7"," 0.00","9999.9","999.9","868.1","  71.0"," 10.8","  5.4"
"11933099999","48.9333333","22.0","177.0","1988-07-24","  56.4","000000","999.9","  81.7","  61.5","  9.7"," 0.00","9999.9","999.9","867.2","  74.7","  8.9","  7.4"
"11933099999","48.9333333","22.0","177.0","1988-07-25","  56.5","110010","999.9","  65.7","  58.3","  5.8"," 0.02","9999.9","999.9","869.8","  60.7","  4.5","  4.7"
"11933099999","48.9333333","22.0","177.0","1988-07-26","  53.0","000000","999.9","  77.2","  66.0","  5.8"," 0.00","9999.9","999.9","869.9","  70.3"," 18.6","  4.9"
"11933099999","48.9333333","22.0","177.0","1988-07-27","  47.6","000000","999.9","  80.6","  60.3","  5.8"," 0.00","9999.9","999.9","866.3","  72.1"," 19.9","  3.1"
"11933099999","48.9333333","22.0","177.0","1988-07-28","  42.7","000000","999.9","  66.6","  54.0"," 11.7"," 0.00","9999.9","999.9","865.7","  60.5"," 22.4","  8.5"
"11933099999","48.9333333","22.0","177.0","1988-07-29","  46.2","000000","999.9","  73.2","  48.6","  5.8"," 0.00","9999.9","999.9","863.1","  62.5"," 17.9","  5.8"
"11933099999","48.9333333","22.0","177.0","1988-07-30","  44.7","010000","999.9","  61.9","  48.4"," 13.6"," 0.55","9999.9","999.9","864.8","  51.9","  8.2","  7.8"
"11933099999","48.9333333","22.0","177.0","1988-07-31","  42.9","000000","999.9","  59.7","  43.9","  1.9"," 0.00","9999.9","999.9","869.4","  55.6","  9.6","  1.9"
"11933099999","48.9333333","22.0","177.0","1988-08-01","  45.4","000000","999.9","  70.2","  48.7","  7.8"," 0.00","9999.9","999.9","869.6","  63.0"," 14.9","  5.1"
"11933099999","48.9333333","22.0","177.0","1988-08-02","  48.8","000000","999.9","  66.6","  55.4","  9.7"," 0.04","9999.9","999.9","864.9","  62.3","  7.6","  5.4"
"11933099999","48.9333333","22.0","177.0","1988-08-03","9999.9","010010","999.9","  64.4","  52.9","  9.7"," 0.91","9999.9","999.9","857.6","  58.9","  8.2","  5.8"
"11933099999","48.9333333","22.0","177.0","1988-08-04","  41.6","100000","999.9","  50.0","  38.1","  1.9"," 0.00","9999.9","999.9","863.2","  46.5","  7.8","  1.9"
"11933099999","48.9333333","22.0","177.0","1988-08-06","  39.2","000000","999.9","  60.6","  45.3","  9.7"," 0.00","9999.9","999.9","865.8","  53.3"," 15.5","  5.1"
"11933099999","48.9333333","22.0","177.0","1988-08-07","  49.5","100000","999.9","  59.4","  44.2","  9.7"," 0.00","9999.9","999.9","866.4","  54.3","  5.0","  3.9"
"11933099999","48.9333333","22.0","177.0","1988-08-08","  50.9","000000","999.9","  61.5","  49.6","  5.8"," 0.00","9999.9","999.9","865.3","  59.5","  8.1","  2.9"
"11933099999","48.9333333","22.0","177.0","1988-08-09","  50.8","010010","999.9","  65.3","  52.9","  5.8"," 0.01","9999.9","999.9","863.6","  59.5","  5.7","  3.5"
"11933099999","48.9333333","22.0","177.0","1988-08-10","  43.5","000000","999.9","  72.0","  51.1","  9.7"," 0.00","9999.9","999.9","864.2","  63.5"," 14.8","  3.5"
"11933099999","48.9333333","22.0","177.0","1988-08-12","  54.2","000010","999.9","  74.5","  59.7","  5.8"," 0.08","9999.9","999.9","865.9","  67.5","  6.2","  4.7"
"11933099999","48.9333333","22.0","177.0","1988-08-13","  53.5","000010","999.9","  74.8","  58.3"," 11.7"," 0.08","9999.9","999.9","865.9","  67.1","  8.8","  7.8"
"11933099999","48.9333333","22.0","177.0","1988-08-14","  50.7","000000","999.9","  75.2","  54.3","  5.8"," 0.00","9999.9","999.9","867.7","  67.0"," 19.9","  3.1"
"11933099999","48.9333333","22.0","177.0","1988-08-15","  54.1","000000","999.9","  78.1","  69.3","  9.7"," 0.00","9999.9","999.9","866.1","  73.1"," 12.7","  8.7"
"11933099999","48.9333333","22.0","177.0","1988-08-16","  54.8","000010","999.9","  74.3","  57.2","  9.7"," 0.40","9999.9","999.9","864.7","  64.1"," 11.2","  4.7"
"11933099999","48.9333333","22.0","177.0","1988-08-17","  46.0","100000","999.9","  64.4","  52.7","  7.8"," 0.00","9999.9","999.9","864.2","  58.2","  8.1","  4.7"
"11933099999","48.9333333","22.0","177.0","1988-08-18","  41.8","000000","999.9","  66.2","  44.4","  9.7"," 0.00","9999.9","999.9","865.7","  57.5"," 18.6","  5.8"
"11933099999","48.9333333","22.0","177.0","1988-08-19","  43.9","000000","999.9","  72.5","  45.1","  9.7"," 0.00","9999.9","999.9","864.2","  62.0"," 17.0","  7.4"
"11933099999","48.9333333","22.0","177.0","1988-08-20","  45.7","000000","999.9","  76.1","  56.5","  9.7"," 0.00","9999.9","999.9","862.4","  66.9"," 17.6","  6.2"
"11933099999","48.9333333","22.0","177.0","1988-08-21","  52.8","110000","999.9","  61.0","  52.9","  5.8"," 0.31","9999.9","999.9","861.3","  54.6","  0.2","  3.4"
