"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"33638099999","48.1833333","23.3","164.0","1973-01-01","  10.8","000000","999.9","  21.2","  12.2","  1.9"," 0.00","1044.8","999.9","999.9","  15.4","  6.2","  1.6"
"33638099999","48.1833333","23.3","164.0","1973-01-02","  16.9","000000","999.9","  33.8","  14.0","  1.9"," 0.00","1036.7","999.9","999.9","  25.4","  6.2","  1.9"
"33638099999","48.1833333","23.3","164.0","1973-01-03","  22.3","000000","999.9","  33.8","  23.0","  3.9"," 0.00","1029.3","999.9","999.9","  27.7","  5.8","  2.3"
"33638099999","48.1833333","23.3","164.0","1973-01-04","  24.8","000000","999.9","  35.6","  26.6","  1.9"," 0.00","1028.7","999.9","999.9","  29.8","  6.2","  1.6"
"33638099999","48.1833333","23.3","164.0","1973-01-05","  24.4","100000","999.9","  32.0","  21.2","  3.9"," 0.00","1032.7","999.9","999.9","  25.9","  3.8","  1.2"
"33638099999","48.1833333","23.3","164.0","1973-01-06","  24.4","101000","999.9","  24.8","  23.0","  1.9"," 0.01","1038.3","999.9","999.9","  24.4","  0.1","  1.9"
"33638099999","48.1833333","23.3","164.0","1973-01-07","  25.7","010000","999.9","  26.6","  24.8","  1.9"," 0.00","1036.4","999.9","999.9","  25.9","  0.6","  1.9"
"33638099999","48.1833333","23.3","164.0","1973-01-08","  26.6","010000","999.9","  28.4","  26.6","  1.9"," 0.00","1035.5","999.9","999.9","  27.7","  0.6","  1.6"
"33638099999","48.1833333","23.3","164.0","1973-01-12","  22.5","001000","999.9","  33.8","  26.6","  7.8"," 0.00","1027.8","  0.4","999.9","  29.9","  6.2","  5.2"
"33638099999","48.1833333","23.3","164.0","1973-01-13","  14.9","000000","999.9","  37.4","  21.2","  3.9"," 0.00","1032.5","999.9","999.9","  29.3","  6.2","  2.6"
"33638099999","48.1833333","23.3","164.0","1973-01-14","  10.4","000000","999.9","  26.6","  10.4","  1.9"," 0.00","1034.5","999.9","999.9","  19.4","  6.2","  1.9"
"33638099999","48.1833333","23.3","164.0","1973-01-15","  10.0","000000","999.9","  32.0","   6.8","  1.9"," 0.00","1023.7","999.9","999.9","  15.1","  6.2","  1.9"
"33638099999","48.1833333","23.3","164.0","1973-01-16","   9.7","000000","999.9","  32.0","   8.6","  1.9"," 0.00","1022.7","999.9","999.9","  19.4","  6.2","  1.6"
"33638099999","48.1833333","23.3","164.0","1973-01-18","  21.8","000000","999.9","  37.4","  26.6","  1.9"," 0.00","1021.5","999.9","999.9","  30.5","  6.2","  1.9"
"33638099999","48.1833333","23.3","164.0","1973-01-20","  34.2","010000","999.9","  46.4","  33.8","  1.9"," 0.00","1018.2","999.9","999.9","  36.0","  3.4","  0.5"
"33638099999","48.1833333","23.3","164.0","1973-01-21","  35.9","001000","999.9","  42.8","  35.6","  1.9"," 0.00","1022.0","999.9","999.9","  36.9","  2.5","  1.7"
"33638099999","48.1833333","23.3","164.0","1973-01-23","  32.0","100000","999.9","  39.2","  32.0","  1.9"," 0.00","1031.2","999.9","999.9","  33.5","  2.1","  1.6"
"33638099999","48.1833333","23.3","164.0","1973-01-24","  33.1","000000","999.9","  39.2","  32.0","  1.9"," 0.00","1032.5","999.9","999.9","  36.0","  6.2","  1.9"
"33638099999","48.1833333","23.3","164.0","1973-01-26","  18.0","000000","999.9","  24.8","  21.2","  7.8"," 0.00","1031.4","999.9","999.9","  23.0","  4.3","  5.1"
