"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"26509099999","55.7333333","21.0833333","7.26","1973-01-01","  17.6","000000","999.9","  30.2","  23.0"," 11.7"," 0.00","1033.8","999.9","999.9","  27.2","  6.2","  9.4"
"26509099999","55.7333333","21.0833333","7.26","1973-01-02","  23.2","000000","999.9","  37.4","  24.8"," 13.6"," 0.00","1029.0","999.9","999.9","  31.1","  6.2","  8.5"
"26509099999","55.7333333","21.0833333","7.26","1973-01-03","  34.3","010000","999.9","  39.2","  33.8"," 15.5"," 0.00","1023.1","999.9","999.9","  38.7","  3.3"," 13.6"
"26509099999","55.7333333","21.0833333","7.26","1973-01-04","  34.7","100000","999.9","  39.2","  33.8"," 19.4"," 0.00","1028.1","999.9","999.9","  36.8","  3.4","  7.8"
"26509099999","55.7333333","21.0833333","7.26","1973-01-05","  37.7","000000"," 27.2","  41.0","  37.4"," 19.4"," 0.00","1028.2","999.9","999.9","  39.7","  6.2"," 13.0"
"26509099999","55.7333333","21.0833333","7.26","1973-01-06","  38.4","100000","999.9","9999.9","9999.9"," 13.6"," 0.00","1030.8","999.9","999.9","  39.2","  2.3","  8.9"
"26509099999","55.7333333","21.0833333","7.26","1973-01-07","  33.3","100000","999.9","  39.2","  32.0","  9.7"," 0.00","1033.3","999.9","999.9","  34.7","  1.1","  3.4"
"26509099999","55.7333333","21.0833333","7.26","1973-01-08","  34.5","010000"," 23.3","  39.2","  30.2"," 19.4"," 0.01","1026.2","999.9","999.9","  38.1","  5.8"," 14.8"
"26509099999","55.7333333","21.0833333","7.26","1973-01-09","  31.3","000000","999.9","  42.8","  35.6"," 23.3"," 0.04","1026.5","999.9","999.9","  37.6","  5.8","  8.6"
"26509099999","55.7333333","21.0833333","7.26","1973-01-10","  35.1","010000"," 31.1","9999.9","9999.9"," 23.3"," 0.05","1018.0","999.9","999.9","  39.2","  5.4"," 21.1"
"26509099999","55.7333333","21.0833333","7.26","1973-01-11","  28.7","000000","999.9","  39.2","  28.4"," 13.6"," 0.00","1024.6","999.9","999.9","  34.1","  7.1","  5.8"
"26509099999","55.7333333","21.0833333","7.26","1973-01-12","  28.0","000000","999.9","  37.4","  23.0","  3.9"," 0.00","1032.8","999.9","999.9","  31.1","  6.8","  2.2"
