"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"33791099999","48.0333333","33.2166666","124.0","1973-01-01","   6.1","000000","999.9","  42.8","  17.6","  7.8"," 0.00","1044.1","999.9","999.9","  29.3","  8.5","  4.6"
"33791099999","48.0333333","33.2166666","124.0","1973-01-02","  12.8","000000","999.9","  46.4","  19.4","  9.7"," 0.00","1040.2","999.9","999.9","  30.8","  7.2","  6.2"
"33791099999","48.0333333","33.2166666","124.0","1973-01-03","  20.7","100000","999.9","  42.8","  21.2","  7.8"," 0.00","1032.8","999.9","999.9","  29.2","  4.1","  4.2"
"33791099999","48.0333333","33.2166666","124.0","1973-01-04","  26.3","100000","999.9","  32.0","  17.6","  5.8"," 0.00","1026.6","999.9","999.9","  28.4","  1.2","  1.9"
"33791099999","48.0333333","33.2166666","124.0","1973-01-05","  27.9","000000","999.9","  32.0","  26.6","  7.8"," 0.00","1028.2","999.9","999.9","  30.4","  1.6","  4.9"
"33791099999","48.0333333","33.2166666","124.0","1973-01-06","  27.9","010000","999.9","  33.8","  30.2"," 13.6"," 0.00","1029.8","999.9","999.9","  32.5","  5.3","  8.7"
"33791099999","48.0333333","33.2166666","124.0","1973-01-07","  29.3","010000","999.9","  33.8","  30.2"," 11.7"," 0.00","1027.3","999.9","999.9","  32.5","  4.7","  9.2"
"33791099999","48.0333333","33.2166666","124.0","1973-01-08","  18.7","000000","999.9","  33.8","  14.0"," 11.7"," 0.00","1029.3","999.9","999.9","  26.1","  7.3","  6.6"
"33791099999","48.0333333","33.2166666","124.0","1973-01-09","  24.4","010000","999.9","  37.4","  21.2"," 13.6"," 0.00","1020.2","999.9","999.9","  30.6","  5.7"," 10.7"
"33791099999","48.0333333","33.2166666","124.0","1973-01-10","  14.8","000000","999.9","  32.0","  14.0"," 13.6"," 0.00","1021.0","999.9","999.9","  23.8","  6.2","  8.0"
"33791099999","48.0333333","33.2166666","124.0","1973-01-11","  25.8","001000","999.9","  32.0","  24.8"," 19.4"," 0.16","1005.0","  1.6","999.9","  27.9","  1.9"," 15.8"
"33791099999","48.0333333","33.2166666","124.0","1973-01-12","  12.2","001000","999.9","  26.6","  10.4"," 19.4"," 0.06","1014.4","  1.6","999.9","  17.9","  5.1"," 16.4"
"33791099999","48.0333333","33.2166666","124.0","1973-01-13","   1.4","001000","999.9","  10.4","   3.2"," 15.5"," 0.03","1026.6"," 15.0","999.9","   6.8","  3.9"," 11.3"
"33791099999","48.0333333","33.2166666","124.0","1973-01-14","  10.6","001000","999.9","  23.0","   8.6"," 13.6"," 0.04","1024.8"," 15.0","999.9","  14.7","  4.1","  9.7"
"33791099999","48.0333333","33.2166666","124.0","1973-01-15","  15.8","001000","999.9","  26.6","  10.4"," 15.5"," 0.08","1021.5","  3.1","999.9","  20.3","  3.7"," 11.9"
"33791099999","48.0333333","33.2166666","124.0","1973-01-16","   6.6","000000","999.9","  19.4","   3.2","  9.7"," 0.01","1029.0","  3.1","999.9","   9.3","  2.3","  6.1"
"33791099999","48.0333333","33.2166666","124.0","1973-01-17","   3.7","000000","999.9","  14.0","  -0.4","  7.8"," 0.00","1032.7","  3.1","999.9","   5.4","  1.6","  4.9"
"33791099999","48.0333333","33.2166666","124.0","1973-01-18","  12.7","000000","999.9","  26.6","   3.2","  5.8"," 0.00","1030.2"," 29.5","999.9","  15.3","  1.2","  4.2"
"33791099999","48.0333333","33.2166666","124.0","1973-01-20","9999.9","011000","999.9","  26.6","   6.8"," 15.5"," 0.02","1030.4","  3.1","999.9","  17.6","999.9"," 12.8"
"33791099999","48.0333333","33.2166666","124.0","1973-01-21"," -11.5","000000","999.9","   6.8","  -5.8"," 17.5"," 0.00","1038.3","  3.1","999.9","  -1.8","  6.2"," 15.1"
"33791099999","48.0333333","33.2166666","124.0","1973-01-22","  -5.4","000000","999.9","  12.2","  -4.0"," 17.5"," 0.00","1038.1","  2.0","999.9","   3.9","  6.2"," 12.6"
"33791099999","48.0333333","33.2166666","124.0","1973-01-23","  -7.2","000000","999.9","  14.0","   1.4"," 11.7"," 0.00","1040.2","  3.1","999.9","   5.2","  6.2","  9.2"
"33791099999","48.0333333","33.2166666","124.0","1973-01-24","  -5.2","000000","999.9","  14.0","  -4.0","  7.8"," 0.00","1044.7","  3.1","999.9","   1.4","  3.7","  6.2"
"33791099999","48.0333333","33.2166666","124.0","1973-01-25","   4.2","000000","999.9","  19.4","   1.4","  9.7"," 0.00","1045.7","  3.1","999.9","   8.9","  3.6","  8.3"
"33791099999","48.0333333","33.2166666","124.0","1973-01-26","  -1.3","000000","999.9","  24.8","  -2.2","  7.8"," 0.00","1034.6","  3.1","999.9","  10.2","  3.4","  4.4"
"33791099999","48.0333333","33.2166666","124.0","1973-01-27","   3.9","001000","999.9","  33.8","  -0.4"," 11.7"," 0.00","1018.1","  3.1","999.9","  14.7","  3.0","  6.3"
"33791099999","48.0333333","33.2166666","124.0","1973-01-28","  16.9","001000","999.9","  26.6","  10.4","  7.8"," 0.02","1012.7","  3.1","999.9","  19.7","  2.8","  2.9"
"33791099999","48.0333333","33.2166666","124.0","1973-01-29","  13.3","100000","999.9","  32.0","   3.2","  9.7"," 0.00","1018.9","  3.1","999.9","  15.8","  1.7","  4.1"
"33791099999","48.0333333","33.2166666","124.0","1973-01-30","  29.4","111000","999.9","  33.8","  21.2","  9.7"," 0.28","1010.2","  3.1","999.9","  30.7","  0.7","  8.0"
"33791099999","48.0333333","33.2166666","124.0","1973-02-01","   9.5","001000","999.9","  19.4","   8.6","  9.7"," 0.01","1021.2","  1.6","999.9","  12.6","  3.3","  5.5"
"33791099999","48.0333333","33.2166666","124.0","1973-02-02","  14.3","000000","999.9","  21.2","  12.2","  5.8"," 0.00","1028.6","999.9","999.9","  17.9","  3.2","  3.9"
"33791099999","48.0333333","33.2166666","124.0","1973-02-03","  13.5","000000","999.9","  26.6","   6.8"," 11.7"," 0.00","1025.5","  1.2","999.9","  16.9","  1.6","  6.3"
"33791099999","48.0333333","33.2166666","124.0","1973-02-04","  23.0","001000","999.9","  33.8","  19.4"," 15.5"," 0.01","1015.0","  1.6","999.9","  28.4","  4.8"," 11.2"
"33791099999","48.0333333","33.2166666","124.0","1973-02-05","  13.1","000000","999.9","  26.6","  15.8"," 13.6"," 0.00","1022.7","999.9","999.9","  20.7","  6.2","  9.7"
"33791099999","48.0333333","33.2166666","124.0","1973-02-06","  26.8","010000","999.9","  37.4","  19.4"," 13.6"," 0.00","1015.7","  0.4","999.9","  31.3","  4.8"," 10.9"
"33791099999","48.0333333","33.2166666","124.0","1973-02-07","  28.4","000000","999.9","  37.4","  28.4"," 13.6"," 0.01","1008.4","999.9","999.9","  33.8","  3.6"," 11.9"
"33791099999","48.0333333","33.2166666","124.0","1973-02-08","  31.7","011000","999.9","  42.8","  35.6"," 17.5"," 0.02","1006.8","  0.4","999.9","  37.4","  5.7"," 13.4"
"33791099999","48.0333333","33.2166666","124.0","1973-02-09","  34.9","100000","999.9","  42.8","  33.8","  9.7"," 0.00","1012.1","  0.4","999.9","  37.9","  3.6","  6.9"
"33791099999","48.0333333","33.2166666","124.0","1973-02-10","  34.0","100000","999.9","  39.2","  30.2","  5.8"," 0.00","1009.6","999.9","999.9","  34.9","  0.5","  5.6"
"33791099999","48.0333333","33.2166666","124.0","1973-02-11","  34.9","100000","999.9","  53.6","  30.2"," 13.6"," 0.16","1008.9","999.9","999.9","  38.3","  0.4","  6.8"
"33791099999","48.0333333","33.2166666","124.0","1973-02-12","  32.5","010000","999.9","  41.0","  32.0"," 11.7"," 0.00","1010.4","999.9","999.9","  35.8","  3.7","  6.8"
"33791099999","48.0333333","33.2166666","124.0","1973-02-13","  29.7","001000","999.9","  33.8","  30.2","  7.8"," 0.04","1010.5","  1.6","999.9","  31.3","  2.0","  4.4"
"33791099999","48.0333333","33.2166666","124.0","1973-02-14","  32.2","110000","999.9","  35.6","  30.2","  9.7"," 0.00","1012.1","  1.6","999.9","  32.9","  0.4","  7.0"
"33791099999","48.0333333","33.2166666","124.0","1973-02-15","  37.4","100000","999.9","  48.2","  32.0"," 11.7"," 0.00","1014.9","999.9","999.9","  39.2","  1.6"," 10.0"
"33791099999","48.0333333","33.2166666","124.0","1973-02-16","  35.6","010000","999.9","  41.0","  32.0"," 17.5"," 0.06","1016.1","999.9","999.9","  36.5","  0.1"," 14.8"
"33791099999","48.0333333","33.2166666","124.0","1973-02-17","  33.4","110000","999.9","  39.2","  32.0"," 19.4"," 0.05","1009.9","999.9","999.9","  34.5","  0.7"," 15.3"
"33791099999","48.0333333","33.2166666","124.0","1973-02-18","  34.5","010000","999.9","  39.2","  35.6"," 25.3"," 0.24"," 998.3","999.9","999.9","  37.4","  2.5"," 18.5"
"33791099999","48.0333333","33.2166666","124.0","1973-02-19","  31.8","011000","999.9","  37.4","  32.0"," 19.4"," 0.22","1007.4","999.9","999.9","  34.7","  4.6"," 15.5"
"33791099999","48.0333333","33.2166666","124.0","1973-02-20","  31.1","000000","999.9","  42.8","  32.0"," 38.9"," 0.00","1016.2","999.9","999.9","  36.0","  3.7"," 11.9"
"33791099999","48.0333333","33.2166666","124.0","1973-02-21","  27.4","101000","999.9","  33.8","  30.2","  5.8"," 0.00","1011.2","999.9","999.9","  31.7","  0.6","  1.9"
"33791099999","48.0333333","33.2166666","124.0","1973-02-22","  29.5","001000","999.9","  33.8","  28.4"," 11.7"," 0.08","1004.8","  0.4","999.9","  31.6","  1.3","  8.3"
"33791099999","48.0333333","33.2166666","124.0","1973-02-23","  30.6","001000","999.9","  41.0","  28.4","  9.7"," 0.02","1005.8","  0.4","999.9","  34.5","  4.7","  5.6"
"33791099999","48.0333333","33.2166666","124.0","1973-02-25","  31.1","000000","999.9","  37.4","  32.0"," 11.7"," 0.08","1001.2","999.9","999.9","  33.8","  2.3","  8.5"
"33791099999","48.0333333","33.2166666","124.0","1973-02-26","  31.5","010000","999.9","  39.2","  28.4"," 23.3"," 0.04","1001.3","999.9","999.9","  34.7","  2.3"," 13.1"
"33791099999","48.0333333","33.2166666","124.0","1973-02-27","  29.9","011100","999.9","  41.0","  33.8"," 31.1"," 0.09","1002.3","999.9","999.9","  36.1","  5.1"," 17.5"
"33791099999","48.0333333","33.2166666","124.0","1973-02-28","  30.2","001000","999.9","  37.4","  30.2"," 13.6"," 0.01","1010.6","999.9","999.9","  33.4","  3.0","  7.3"
"33791099999","48.0333333","33.2166666","124.0","1973-03-01","  23.9","001000","999.9","  32.0","  23.0"," 19.4"," 0.67","1008.0","  5.1","999.9","  27.7","  2.0"," 14.6"
"33791099999","48.0333333","33.2166666","124.0","1973-03-02","  21.0","001000","999.9","  28.4","  21.2"," 11.7"," 0.03","1009.4","  3.1","999.9","  24.1","  2.8","  7.3"
"33791099999","48.0333333","33.2166666","124.0","1973-03-03","  22.5","001000","999.9","  28.4","  21.2","  7.8"," 0.02","1010.1","  7.9","999.9","  26.6","  2.2","  1.5"
"33791099999","48.0333333","33.2166666","124.0","1973-03-04","  20.3","001000","999.9","  30.2","  17.6","  5.8"," 0.10","1016.9","  7.9","999.9","  24.1","  2.1","  5.1"
"33791099999","48.0333333","33.2166666","124.0","1973-03-05","  18.6","101000","999.9","  26.6","  12.2","  7.8"," 0.01","1020.9","  5.9","999.9","  21.5","  0.6","  4.4"
"33791099999","48.0333333","33.2166666","124.0","1973-03-06","  23.6","100000","999.9","  33.8","  21.2","  7.8"," 0.01","1025.7","  5.9","999.9","  26.9","  0.9","  5.2"
"33791099999","48.0333333","33.2166666","124.0","1973-03-07","  15.5","100000","999.9","  32.0","  10.4","  3.9"," 0.00","1027.8","  0.4","999.9","  18.9","  0.9","  1.4"
"33791099999","48.0333333","33.2166666","124.0","1973-03-08","  24.5","000000","999.9","  32.0","  17.6","  9.7"," 0.00","1028.7","  5.1","999.9","  28.4","  1.2","  5.3"
"33791099999","48.0333333","33.2166666","124.0","1973-03-09","  27.3","101000","999.9","  33.8","  23.0"," 11.7"," 0.00","1024.6","  3.1","999.9","  30.0","  1.0","  7.3"
"33791099999","48.0333333","33.2166666","124.0","1973-03-10","  31.3","101000","999.9","  35.6","  32.0"," 11.7"," 0.55","1024.2","  3.1","999.9","  34.2","  1.0","  9.7"
"33791099999","48.0333333","33.2166666","124.0","1973-03-11","  27.4","001000","999.9","  32.0","  26.6"," 15.5"," 0.00","1024.2","  1.6","999.9","  31.1","  4.2"," 12.4"
"33791099999","48.0333333","33.2166666","124.0","1973-03-12","  20.3","000000","999.9","  33.8","  21.2"," 17.5"," 0.00","1020.1","  1.6","999.9","  27.7","  4.8"," 14.3"
"33791099999","48.0333333","33.2166666","124.0","1973-03-13","  19.6","000000","999.9","  37.4","  15.8"," 13.6"," 0.00","1022.0","999.9","999.9","  27.3","  5.7"," 10.0"
"33791099999","48.0333333","33.2166666","124.0","1973-03-14","  25.9","001000","999.9","  35.6","  26.6"," 15.5"," 0.08","1019.8","  0.4","999.9","  31.6","  3.7"," 11.2"
"33791099999","48.0333333","33.2166666","124.0","1973-03-15","  28.4","001000","999.9","  32.0","  30.2"," 23.3"," 0.67","1014.9","999.9","999.9","  31.7","  0.5"," 20.7"
"33791099999","48.0333333","33.2166666","124.0","1973-03-16","  29.0","101000","999.9","  33.8","  30.2"," 19.4"," 0.55","1017.1","  3.1","999.9","  31.7","  0.5"," 14.6"
"33791099999","48.0333333","33.2166666","124.0","1973-03-17","  27.2","111000","999.9","  33.8","  24.8"," 11.7"," 0.02","1015.7","  3.1","999.9","  30.2","  2.7","  7.8"
"33791099999","48.0333333","33.2166666","124.0","1973-03-18","  27.4","000000","999.9","  41.0","  23.0"," 13.6"," 0.00","1013.2","  1.6","999.9","  32.0","  6.2","  9.7"
"33791099999","48.0333333","33.2166666","124.0","1973-03-19","  32.3","100000","999.9","  39.2","  33.8","  7.8"," 0.00","1007.6","  0.4","999.9","  35.9","  3.8","  4.7"
"33791099999","48.0333333","33.2166666","124.0","1973-03-20","  24.0","000000","999.9","  37.4","  26.6"," 17.5"," 0.00","1014.2","999.9","999.9","  31.7","  6.2"," 10.8"
"33791099999","48.0333333","33.2166666","124.0","1973-03-21","  32.0","001000","999.9","  42.8","  30.2"," 13.6"," 0.02","1017.6","  0.4","999.9","  36.6","  3.0","  8.6"
"33791099999","48.0333333","33.2166666","124.0","1973-03-22","  25.2","000000","999.9","  39.2","  32.0"," 11.7"," 0.00","1023.0","  0.4","999.9","  35.4","  8.4","  7.8"
"33791099999","48.0333333","33.2166666","124.0","1973-03-23","  33.8","010000","999.9","  48.2","  30.2"," 13.6"," 0.01","1021.2","999.9","999.9","  38.9","  4.3"," 10.4"
"33791099999","48.0333333","33.2166666","124.0","1973-03-24","  36.5","000000","999.9","  53.6","  37.4"," 11.7"," 0.02","1020.0","999.9","999.9","  44.1","  3.4","  8.0"
"33791099999","48.0333333","33.2166666","124.0","1973-03-25","  35.6","100000","999.9","  57.2","  30.2","  9.7"," 0.00","1024.0","999.9","999.9","  43.7","  4.3","  5.3"
"33791099999","48.0333333","33.2166666","124.0","1973-03-26","  33.3","000000","999.9","  57.2","  33.8"," 11.7"," 0.00","1025.2","999.9","999.9","  44.3","  5.7","  8.7"
"33791099999","48.0333333","33.2166666","124.0","1973-03-27","  32.0","000000","999.9","  53.6","  32.0","  9.7"," 0.00","1031.3","999.9","999.9","  43.9","  5.7","  7.3"
"33791099999","48.0333333","33.2166666","124.0","1973-03-28","  33.6","000000","999.9","  59.0","  32.0"," 13.6"," 0.00","1030.3","999.9","999.9","  47.1","  5.3","  7.8"
"33791099999","48.0333333","33.2166666","124.0","1973-03-29","  34.2","000000","999.9","  60.8","  37.4"," 13.6"," 0.20","1028.7","999.9","999.9","  48.7","  5.3","  9.5"
"33791099999","48.0333333","33.2166666","124.0","1973-03-30","  18.6","000000","999.9","  59.0","  37.4"," 15.5"," 0.00","1023.6","999.9","999.9","  47.5","  7.8"," 12.6"
"33791099999","48.0333333","33.2166666","124.0","1973-03-31","  19.4","000000","999.9","  60.8","  28.4","  7.8"," 0.04","1016.5","999.9","999.9","  47.1","  6.2","  5.6"
"33791099999","48.0333333","33.2166666","124.0","1973-04-01","  23.3","000000","999.9","  64.4","  32.0","  5.8"," 0.00","1015.7","999.9","999.9","  48.5","  5.7","  1.4"
"33791099999","48.0333333","33.2166666","124.0","1973-04-02","  21.0","000000","999.9","  64.4","  32.0"," 13.6"," 0.00","1014.5","999.9","999.9","  50.0","  6.2","  8.6"
"33791099999","48.0333333","33.2166666","124.0","1973-04-03","  34.3","000000","999.9","  60.8","  39.2"," 15.5"," 0.00","1013.7","999.9","999.9","  50.3","  5.7"," 10.0"
"33791099999","48.0333333","33.2166666","124.0","1973-04-04","  34.3","000000","999.9","  66.2","  33.8","  9.7"," 0.00","1016.2","999.9","999.9","  51.0","  4.6","  6.4"
"33791099999","48.0333333","33.2166666","124.0","1973-04-05","  36.9","000000","999.9","  68.0","  44.6","  9.7"," 0.00","1020.7","999.9","999.9","  56.3","  6.2","  7.5"
"33791099999","48.0333333","33.2166666","124.0","1973-04-06","  30.5","000000","999.9","  64.4","  41.0"," 11.7"," 0.00","1018.5","999.9","999.9","  54.9","  6.2","  6.7"
"33791099999","48.0333333","33.2166666","124.0","1973-04-07","  24.6","010000","999.9","  68.0","  44.6"," 15.5"," 0.00","1010.9","999.9","999.9","  56.1","  7.0","  9.7"
"33791099999","48.0333333","33.2166666","124.0","1973-04-08","  33.8","000000","999.9","  60.8","  42.8"," 13.6"," 0.00","1009.8","999.9","999.9","  50.9","  6.2","  9.5"
"33791099999","48.0333333","33.2166666","124.0","1973-04-09","  40.2","000000","999.9","  68.0","  42.8"," 13.6"," 0.00","1017.6","999.9","999.9","  56.3","  6.2","  9.2"
"33791099999","48.0333333","33.2166666","124.0","1973-04-10","  35.8","000000","999.9","  73.4","  46.4"," 19.4"," 0.00","1019.1","999.9","999.9","  59.0","  6.2"," 15.3"
"33791099999","48.0333333","33.2166666","124.0","1973-04-11","  33.0","000000","999.9","  75.2","  50.0"," 23.3"," 0.00","1011.9","999.9","999.9","  60.3","  6.2"," 16.6"
"33791099999","48.0333333","33.2166666","124.0","1973-04-12","  41.3","010000","999.9","  62.6","  53.6"," 13.6"," 0.04","1007.8","999.9","999.9","  55.9","  6.2","  8.0"
