"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"12105599999","51.717","19.4","184.0","2004-08-10","  55.4","000000","999.9","  82.4","  64.4","  8.9"," 0.00","9999.9","999.9","999.9","  77.0","  6.8","  4.5"
"12105599999","51.717","19.4","184.0","2004-08-11","  54.5","000000","999.9","  80.6","  60.8","  8.0"," 0.00","9999.9","999.9","999.9","  71.1","  6.4","  4.1"
"12105599999","51.717","19.4","184.0","2004-08-12","  51.5","000000","999.9","  86.0","  57.2","  6.0"," 0.00","9999.9","999.9","999.9","  74.0","  6.2","  3.2"
"12105599999","51.717","19.4","184.0","2004-08-13","  59.3","010000","999.9","  69.8","  60.8"," 13.0","99.99","9999.9","999.9","999.9","  65.0","  5.4","  6.5"
"12105599999","51.717","19.4","184.0","2004-08-14","  55.9","010000","999.9","  64.4","  59.0"," 12.0","99.99","9999.9","999.9","999.9","  61.2","  6.8","  7.2"
"12105599999","51.717","19.4","184.0","2004-08-15","  47.0","000000","999.9","  71.6","  42.8","  8.0"," 0.00","9999.9","999.9","999.9","  59.0","  5.8","  2.9"
"12105599999","51.717","19.4","184.0","2004-08-16","  51.3","000000","999.9","  80.6","  51.8","  8.0"," 0.00","9999.9","999.9","999.9","  69.0","  6.2","  4.8"
"12105599999","51.717","19.4","184.0","2004-08-17","  54.9","000000","999.9","  84.2","  60.8"," 14.0"," 0.00","9999.9","999.9","999.9","  73.8","  6.2","  8.5"
"12105599999","51.717","19.4","184.0","2004-08-18","  56.7","010010","999.9","  86.0","  64.4"," 12.0","99.99","9999.9","999.9","999.9","  75.7","  6.4","  6.3"
"12105599999","51.717","19.4","184.0","2004-08-19","  58.0","010000","999.9","  91.4","  60.8"," 12.0","99.99","9999.9","999.9","999.9","  77.3","  6.3","  4.7"
"12105599999","51.717","19.4","184.0","2004-08-20","  58.4","010000","999.9","  78.8","  60.8"," 13.0","99.99","9999.9","999.9","999.9","  69.0","  6.4","  5.6"
"12105599999","51.717","19.4","184.0","2004-08-21","  58.5","010010","999.9","  73.4","  59.0"," 12.0","99.99","9999.9","999.9","999.9","  63.8","  6.3","  3.9"
"12105599999","51.717","19.4","184.0","2004-08-22","  52.7","000000","999.9","  66.2","  48.2"," 12.0"," 0.00","9999.9","999.9","999.9","  60.3","  6.1","  4.7"
"12105599999","51.717","19.4","184.0","2004-08-23","  42.3","000000","999.9","  69.8","  42.8","  6.0"," 0.00","9999.9","999.9","999.9","  59.0","  6.2","  2.3"
"12105599999","51.717","19.4","184.0","2004-08-24","  50.9","010000","999.9","  78.8","  51.8"," 12.0","99.99","9999.9","999.9","999.9","  67.0","  6.3","  8.3"
"12105599999","51.717","19.4","184.0","2004-08-25","  52.5","000000","999.9","  73.4","  59.0"," 15.9"," 0.00","9999.9","999.9","999.9","  66.9","  6.6","  8.3"
