"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"26114999999","53.95","30.1","194.0","2004-08-10","  59.0","000000"," 15.5","  68.0","  66.2"," 11.7"," 0.00","9999.9","999.9","999.9","  67.1","  3.7"," 10.7"
"26114999999","53.95","30.1","194.0","2004-08-11","  51.2","000000","999.9","  64.4","  48.2"," 11.7"," 0.00","9999.9","999.9","999.9","  59.8","  4.0","  6.5"
"26114999999","53.95","30.1","194.0","2004-08-12","  50.8","000000"," 19.4","  75.2","  48.2"," 15.5"," 0.00","9999.9","999.9","999.9","  62.5","  4.6","  9.5"
"26114999999","53.95","30.1","194.0","2004-08-13","  50.6","000000","999.9","  75.2","  51.8","  3.9"," 0.00","9999.9","999.9","999.9","  67.3","  4.7","  1.5"
"26114999999","53.95","30.1","194.0","2004-08-14","  52.1","010000"," 17.5","  60.8","  46.4"," 11.7","99.99","9999.9","999.9","999.9","  55.8","  4.2","  9.6"
"26114999999","53.95","30.1","194.0","2004-08-15","  45.0","000000"," 21.4","  62.6","  46.4"," 15.5"," 0.00","9999.9","999.9","999.9","  56.4","  4.4"," 12.0"
"26114999999","53.95","30.1","194.0","2004-08-16","  52.0","000000"," 21.4","  71.6","  53.6"," 17.5"," 0.00","9999.9","999.9","999.9","  63.6","  5.7","  9.6"
"26114999999","53.95","30.1","194.0","2004-08-17","  50.7","000000","999.9","  77.0","  57.2"," 13.6"," 0.00","9999.9","999.9","999.9","  68.6","  6.2","  8.5"
"26114999999","53.95","30.1","194.0","2004-08-18","  57.2","000000"," 21.4","  78.8","  59.0"," 15.5"," 0.00","9999.9","999.9","999.9","  72.6","  6.2"," 11.3"
"26114999999","53.95","30.1","194.0","2004-08-19","  53.1","000000"," 17.5","  82.4","  55.4"," 11.7"," 0.00","9999.9","999.9","999.9","  74.4","  6.2","  6.9"
"26114999999","53.95","30.1","194.0","2004-08-20","  55.4","000000","999.9","  82.4","  59.0","  9.7"," 0.00","9999.9","999.9","999.9","  76.3","  6.2","  6.4"
"26114999999","53.95","30.1","194.0","2004-08-21","  61.1","010010"," 19.4","  84.2","  60.8"," 13.6","99.99","9999.9","999.9","999.9","  73.7","  5.2","  8.7"
