"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"33301299999","47.05","31.917","58.0","2004-07-13","  65.5","010010"," 17.5","  78.8","  68.0"," 11.7","99.99","9999.9","999.9","999.9","  72.9","  7.0","  3.9"
"33301299999","47.05","31.917","58.0","2004-07-14","  60.3","010010"," 19.4","  69.8","  62.6"," 11.7","99.99","9999.9","999.9","999.9","  67.3","  7.0","  8.9"
"33301299999","47.05","31.917","58.0","2004-07-15","  55.9","010000"," 25.3","  66.2","  57.2"," 15.5","99.99","9999.9","999.9","999.9","  61.0","  6.1"," 10.9"
"33301299999","47.05","31.917","58.0","2004-07-16","  52.0","000000","999.9","  71.6","  57.2","  7.8"," 0.00","9999.9","999.9","999.9","  66.3","  6.7","  4.1"
"33301299999","47.05","31.917","58.0","2004-07-17","  54.9","000000","999.9","  77.0","  60.8","  7.8"," 0.00","9999.9","999.9","999.9","  71.8","  6.7","  4.0"
"33301299999","47.05","31.917","58.0","2004-07-18","  60.1","010000","999.9","  82.4","  62.6"," 11.7","99.99","9999.9","999.9","999.9","  75.4","  6.9","  4.5"
"33301299999","47.05","31.917","58.0","2004-07-19","  51.1","000000","999.9","  80.6","  62.6","  9.7"," 0.00","9999.9","999.9","999.9","  74.3","  6.3","  7.0"
"33301299999","47.05","31.917","58.0","2004-07-20","  53.6","000000","999.9","  82.4","  59.0","  3.9"," 0.00","9999.9","999.9","999.9","  74.8","  6.5","  0.7"
"33301299999","47.05","31.917","58.0","2004-07-21","  59.3","000000","999.9","  84.2","  60.8"," 11.7"," 0.00","9999.9","999.9","999.9","  76.3","  6.5","  4.9"
"33301299999","47.05","31.917","58.0","2004-07-22","  60.6","000000","999.9","  86.0","  68.0"," 11.7"," 0.00","9999.9","999.9","999.9","  79.1","  6.7","  6.4"
"33301299999","47.05","31.917","58.0","2004-07-23","  58.1","000000","999.9","  82.4","  62.6"," 11.7"," 0.00","9999.9","999.9","999.9","  75.4","  6.8","  8.3"
"33301299999","47.05","31.917","58.0","2004-07-24","  62.0","010010"," 19.4","  84.2","  64.4"," 13.6","99.99","9999.9","999.9","999.9","  73.9","  6.8","  5.6"
"33301299999","47.05","31.917","58.0","2004-07-25","  59.7","000000","999.9","  84.2","  62.6","  9.7"," 0.00","9999.9","999.9","999.9","  76.0","  6.5","  5.1"
"33301299999","47.05","31.917","58.0","2004-07-26","  62.3","000010","999.9","  86.0","  64.4","  9.7"," 0.00","9999.9","999.9","999.9","  78.7","  6.7","  2.7"
"33301299999","47.05","31.917","58.0","2004-07-27","  62.4","100000","999.9","  89.6","  68.0","  9.7"," 0.00","9999.9","999.9","999.9","  81.3","  6.0","  4.0"
"33301299999","47.05","31.917","58.0","2004-07-28","  63.4","000010","999.9","  89.6","  66.2"," 11.7"," 0.00","9999.9","999.9","999.9","  81.9","  6.5","  7.0"
"33301299999","47.05","31.917","58.0","2004-07-29","  65.0","000010","999.9","  91.4","  68.0","  7.8"," 0.00","9999.9","999.9","999.9","  82.5","  6.6","  2.5"
"33301299999","47.05","31.917","58.0","2004-07-30","  64.3","000000","999.9","  91.4","  69.8","  9.7"," 0.00","9999.9","999.9","999.9","  83.8","  7.0","  1.7"
"33301299999","47.05","31.917","58.0","2004-07-31","  64.9","010010"," 21.4","  89.6","  73.4"," 13.6","99.99","9999.9","999.9","999.9","  82.3","  6.8"," 10.4"
"33301299999","47.05","31.917","58.0","2004-08-01","  65.6","000000"," 23.3","  93.2","  68.0"," 13.6"," 0.00","9999.9","999.9","999.9","  83.4","  6.8"," 10.3"
