"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"26038199999","58.417","24.467","47.0","2004-07-19","  58.7","000000","999.9","  78.8","  68.0","  8.9"," 0.00","9999.9","999.9","999.9","  73.7","  6.3","  6.8"
"26038199999","58.417","24.467","47.0","2004-07-20","  64.8","010000","999.9","  66.2","  62.6"," 12.0","99.99","9999.9","999.9","999.9","  65.1","  6.6","  9.6"
"26038199999","58.417","24.467","47.0","2004-07-22","  66.2","000000","999.9","  73.4","  62.6","  9.9"," 0.00","9999.9","999.9","999.9","  68.5","  5.5","  8.9"
"26038199999","58.417","24.467","47.0","2004-07-26","  57.2","000000","999.9","  68.0","  66.2","  9.9"," 0.00","9999.9","999.9","999.9","  67.4","  7.0","  6.5"
"26038199999","58.417","24.467","47.0","2004-07-27","  61.0","000000","999.9","  71.6","  62.6","  7.0"," 0.00","9999.9","999.9","999.9","  68.8","  5.8","  5.2"
"26038199999","58.417","24.467","47.0","2004-08-02","  67.6","000000","999.9","  77.0","  64.4"," 13.0"," 0.00","9999.9","999.9","999.9","  70.5","  6.2","  8.8"
"26038199999","58.417","24.467","47.0","2004-08-03","  70.7","000000","999.9","  78.8","  69.8","  8.0"," 0.00","9999.9","999.9","999.9","  74.3","  7.0","  7.0"
"26038199999","58.417","24.467","47.0","2004-08-04","  64.7","000000","999.9","  80.6","  71.6","  8.0"," 0.00","9999.9","999.9","999.9","  78.2","  6.7","  6.3"
"26038199999","58.417","24.467","47.0","2004-08-06","  62.6","000000","999.9","  82.4","  69.8","  7.0"," 0.00","9999.9","999.9","999.9","  77.3","  6.5","  4.6"
"26038199999","58.417","24.467","47.0","2004-08-16","  62.8","000000","999.9","  69.8","  66.2"," 12.0"," 0.00","9999.9","999.9","999.9","  67.8","  7.0"," 10.0"
"26038199999","58.417","24.467","47.0","2004-08-17","  61.2","010000","999.9","  62.6","  60.8"," 12.0","99.99","9999.9","999.9","999.9","  61.2","  2.3","  7.0"
"26038199999","58.417","24.467","47.0","2004-08-20","  65.0","000000"," 22.0","  71.6","  64.4"," 16.9"," 0.00","9999.9","999.9","999.9","  68.0","  6.5","  9.9"
"26038199999","58.417","24.467","47.0","2004-08-23","  50.4","010000","999.9","  62.6","  57.2"," 20.0","99.99","9999.9","999.9","999.9","  60.2","  6.8"," 14.9"
"26038199999","58.417","24.467","47.0","2004-08-24","  46.7","000000","999.9","  64.4","  60.8","  8.9"," 0.00","9999.9","999.9","999.9","  62.6","  7.0","  6.7"
"26038199999","58.417","24.467","47.0","2004-08-25","  51.3","010000","999.9","  62.6","  50.0"," 14.0","99.99","9999.9","999.9","999.9","  58.0","  6.2","  8.5"
"26038199999","58.417","24.467","47.0","2004-08-26","  60.8","010000","999.9","  62.6","  59.0","  8.9","99.99","9999.9","999.9","999.9","  60.8","  4.3","  6.2"
"26038199999","58.417","24.467","47.0","2004-08-27","  59.0","100000","999.9","  68.0","  53.6","  6.0"," 0.00","9999.9","999.9","999.9","  61.6","  5.0","  4.3"
"26038199999","58.417","24.467","47.0","2004-08-28","  59.9","000000"," 22.0","  64.4","  60.8"," 15.9"," 0.00","9999.9","999.9","999.9","  62.4","  7.0"," 13.4"
"26038199999","58.417","24.467","47.0","2004-08-30","  64.0","010000","999.9","  69.8","  59.0"," 14.0","99.99","9999.9","999.9","999.9","  65.4","  6.6"," 10.9"
"26038199999","58.417","24.467","47.0","2004-08-31","  66.9","000000","999.9","  69.8","  64.4"," 12.0"," 0.00","9999.9","999.9","999.9","  67.6","  5.0","  8.7"
"26038199999","58.417","24.467","47.0","2004-09-02","  59.8","000000","999.9","  64.4","  53.6","  8.0"," 0.00","9999.9","999.9","999.9","  61.1","  6.3","  5.3"
"26038199999","58.417","24.467","47.0","2004-09-03","  61.6","000000","999.9","  68.0","  59.0","  9.9"," 0.00","9999.9","999.9","999.9","  63.4","  7.0","  5.4"
"26038199999","58.417","24.467","47.0","2004-09-06","  64.7","000000"," 23.9","  66.2","  62.6"," 15.0"," 0.00","9999.9","999.9","999.9","  64.7","  4.5"," 13.2"
"26038199999","58.417","24.467","47.0","2004-09-07","  53.3","000000"," 22.9","  59.0","  57.2"," 15.0"," 0.00","9999.9","999.9","999.9","  58.4","  7.0"," 11.8"
"26038199999","58.417","24.467","47.0","2004-09-09","  39.0","000000","999.9","  57.2","  42.8","  9.9"," 0.00","9999.9","999.9","999.9","  52.0","  6.8","  8.2"
"26038199999","58.417","24.467","47.0","2004-09-10","  58.5","000000","999.9","  64.4","  59.0"," 16.9"," 0.00","9999.9","999.9","999.9","  61.8","  7.0"," 13.6"
"26038199999","58.417","24.467","47.0","2004-09-13","  57.5","000000"," 35.9","  60.8","  59.0"," 25.1"," 0.00","9999.9","999.9","999.9","  59.9","  6.0"," 23.5"
"26038199999","58.417","24.467","47.0","2004-09-14","  57.5","000000"," 28.9","  62.6","  57.2"," 20.0"," 0.00","9999.9","999.9","999.9","  60.8","  6.6"," 17.3"
"26038199999","58.417","24.467","47.0","2004-09-16","  51.3","010000"," 32.1","  55.4","  51.8"," 22.0","99.99","9999.9","999.9","999.9","  53.6","  5.6"," 15.8"
"26038199999","58.417","24.467","47.0","2004-09-17","  45.7","000000"," 20.0","  59.0","  50.0"," 19.0"," 0.00","9999.9","999.9","999.9","  55.6","  7.0"," 12.5"
"26038199999","58.417","24.467","47.0","2004-09-20","  57.8","000000","999.9","  60.8","  55.4"," 14.0"," 0.00","9999.9","999.9","999.9","  59.3","  6.5"," 11.5"
"26038199999","58.417","24.467","47.0","2004-09-23","  52.2","010000","999.9","  53.6","  50.0","  9.9","99.99","9999.9","999.9","999.9","  52.2","  6.3","  7.0"
"26038199999","58.417","24.467","47.0","2004-09-24","  54.9","010000"," 22.9","  55.4","  53.6"," 20.0","99.99","9999.9","999.9","999.9","  54.9","  6.0"," 16.3"
"26038199999","58.417","24.467","47.0","2004-10-14","  33.4","000000","999.9","  48.2","  33.8","  9.9"," 0.00","9999.9","999.9","999.9","  41.7","  6.2","  8.0"
"26038199999","58.417","24.467","47.0","2004-10-19","  40.4","110000","999.9","  44.6","  37.4","  7.0","99.99","9999.9","999.9","999.9","  40.4","  1.0","  5.7"
"26038199999","58.417","24.467","47.0","2004-10-22","  47.6","000000","999.9","  50.0","  42.8"," 14.0"," 0.00","9999.9","999.9","999.9","  47.6","  4.7"," 10.5"
"26038199999","58.417","24.467","47.0","2004-10-25","  43.0","100000","999.9","  44.6","  37.4","  5.1"," 0.00","9999.9","999.9","999.9","  43.0","  0.3","  3.6"
"26038199999","58.417","24.467","47.0","2004-10-26","  49.6","000000","999.9","  50.0","  48.2"," 18.1"," 0.00","9999.9","999.9","999.9","  49.6","  4.7"," 13.8"
"26038199999","58.417","24.467","47.0","2004-10-28","  39.2","000000","999.9","  50.0","  37.4","  9.9"," 0.00","9999.9","999.9","999.9","  45.7","  6.2","  7.8"
"26038199999","58.417","24.467","47.0","2004-10-29","  40.1","010000"," 23.9","  41.0","  39.2"," 14.0","99.99","9999.9","999.9","999.9","  40.1","  5.5"," 11.5"
"26038199999","58.417","24.467","47.0","2004-11-01","  41.3","000000","999.9","  48.2","  39.2"," 15.0"," 0.00","9999.9","999.9","999.9","  45.9","  6.6","  9.7"
