"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"02836099999","67.395033","26.619133","183.48","1973-01-01","  22.8","001000","999.9","  41.0","  24.8"," 29.9"," 0.04"," 999.8","999.9","999.9","  32.9"," 14.8"," 16.2"
"02836099999","67.395033","26.619133","183.48","1973-01-02","  25.1","001000","999.9","  35.6","  28.4"," 17.9","99.99","1001.6","999.9","999.9","  33.0"," 15.2"," 12.8"
"02836099999","67.395033","26.619133","183.48","1973-01-03","  19.4","001000","999.9","  32.0","  14.0","  9.9"," 0.28","1001.9","999.9","999.9","  23.0"," 13.0","  5.9"
"02836099999","67.395033","26.619133","183.48","1973-01-04","  13.1","001000","999.9","  32.0","   3.2"," 15.0"," 0.00","1008.0","999.9","999.9","  17.4"," 14.8","  9.8"
"02836099999","67.395033","26.619133","183.48","1973-01-05","  23.0","001000","999.9","  33.8","  21.2"," 14.0"," 0.00"," 994.7"," 29.5","999.9","  29.2"," 17.0","  9.7"
"02836099999","67.395033","26.619133","183.48","1973-01-06","  10.2","001000","999.9","  23.0","   1.4"," 13.0"," 0.20","1012.2"," 29.5","999.9","  13.8"," 13.1","  6.0"
"02836099999","67.395033","26.619133","183.48","1973-01-07","   5.5","001000","999.9","  23.0","  -5.8"," 11.8"," 0.12","1017.4"," 29.5","999.9","   8.9"," 13.0","  6.5"
"02836099999","67.395033","26.619133","183.48","1973-01-08","  14.0","001000","999.9","  30.2","  14.0"," 21.0"," 0.04","1005.2"," 29.5","999.9","  22.3"," 18.3"," 11.9"
"02836099999","67.395033","26.619133","183.48","1973-01-09","  13.1","001000","999.9","  24.8","   5.0"," 11.8"," 0.00","1008.3"," 29.5","999.9","  20.3"," 13.7","  7.4"
"02836099999","67.395033","26.619133","183.48","1973-01-10","  20.5","001000","999.9","  30.2","  19.4"," 14.0"," 0.02","1002.5"," 29.5","999.9","  26.4"," 17.8","  8.8"
"02836099999","67.395033","26.619133","183.48","1973-01-11","  19.9","001000","999.9","  28.4","  12.2","  5.8"," 0.05","1016.9"," 29.5","999.9","  21.5"," 12.0","  4.2"
"02836099999","67.395033","26.619133","183.48","1973-01-12","  14.0","000000","999.9","  30.2","   8.6"," 15.9"," 0.00","1015.7","999.9","999.9","  16.7"," 19.2","  5.5"
"02836099999","67.395033","26.619133","183.48","1973-01-13","  23.3","001000","999.9","  33.8","  14.0"," 14.0"," 0.00","1019.5"," 32.3","999.9","  29.6"," 19.7"," 10.6"
"02836099999","67.395033","26.619133","183.48","1973-01-14","  12.5","000000","999.9","  23.0","  -2.2"," 15.0"," 0.00","1025.5"," 29.5","999.9","  16.3"," 18.5","  7.8"
