"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"02944099999","61.414147","23.604392","118.87","1979-10-01","  28.4","000000","999.9","  41.0","  30.2","  8.9"," 0.00","9999.9","999.9","999.9","  37.4"," 22.4","  6.2"
"02944099999","61.414147","23.604392","118.87","1979-10-02","  29.5","000000","999.9","  42.8","  30.2","  6.0"," 0.00","9999.9","999.9","999.9","  36.7"," 28.0","  3.8"
"02944099999","61.414147","23.604392","118.87","1979-10-03","  34.9","000000","999.9","  46.4","  32.0","  9.9"," 0.00","9999.9","999.9","999.9","  39.7"," 24.1","  7.7"
"02944099999","61.414147","23.604392","118.87","1979-10-04","  34.7","010000","999.9","  44.6","  35.6","  8.0","99.99","9999.9","999.9","999.9","  40.8"," 19.0","  6.1"
"02944099999","61.414147","23.604392","118.87","1979-10-05","  27.1","000000","999.9","  41.0","  26.6"," 11.1"," 0.00","9999.9","999.9","999.9","  33.8"," 28.0","  5.3"
"02944099999","61.414147","23.604392","118.87","1979-10-06","  30.5","000000","999.9","  48.2","  23.0"," 15.9"," 0.00","9999.9","999.9","999.9","  37.1"," 23.1","  7.4"
"02944099999","61.414147","23.604392","118.87","1979-10-07","  35.2","010000","999.9","  44.6","  32.0"," 13.0","99.99","9999.9","999.9","999.9","  38.8"," 20.2","  7.9"
"02944099999","61.414147","23.604392","118.87","1979-10-08","  35.6","100000","999.9","  44.6","  30.2","  5.1"," 0.00","9999.9","999.9","999.9","  36.3","  3.6","  3.1"
"02944099999","61.414147","23.604392","118.87","1979-10-09","  42.1","100000","999.9","  48.2","  39.2","  8.0"," 0.00","9999.9","999.9","999.9","  44.1","  3.1","  6.2"
"02944099999","61.414147","23.604392","118.87","1979-10-10","  46.2","110000","999.9","  48.2","  44.6","  6.0"," 0.04","9999.9","999.9","999.9","  46.6","  1.0","  4.8"
"02944099999","61.414147","23.604392","118.87","1979-10-11","  48.7","110000","999.9","  51.8","  46.4","  8.9"," 0.05","9999.9","999.9","999.9","  49.7","  0.9","  5.9"
"02944099999","61.414147","23.604392","118.87","1979-10-12","  45.5","100000","999.9","  50.0","  41.0","  8.0"," 0.00","9999.9","999.9","999.9","  47.5","  2.6","  5.6"
"02944099999","61.414147","23.604392","118.87","1979-10-13","  40.2","010000","999.9","  42.8","  39.2","  6.0"," 0.04","9999.9","999.9","999.9","  41.0","  2.1","  4.0"
"02944099999","61.414147","23.604392","118.87","1979-10-14","  47.3","100000","999.9","  48.2","  42.8","  4.1"," 0.00","9999.9","999.9","999.9","  47.3","  0.3","  2.9"
"02944099999","61.414147","23.604392","118.87","1979-10-15","  47.4","110000","999.9","  51.8","  46.4","  8.9"," 0.02","9999.9","999.9","999.9","  49.0","  1.3","  7.3"
"02944099999","61.414147","23.604392","118.87","1979-10-16","  46.4","110000","999.9","  53.6","  42.8"," 11.1"," 0.08","9999.9","999.9","999.9","  46.9","  1.1","  5.9"
"02944099999","61.414147","23.604392","118.87","1979-10-17","  41.2","010000","999.9","  50.0","  35.6","  8.9"," 0.03","9999.9","999.9","999.9","  43.2"," 10.3","  7.1"
"02944099999","61.414147","23.604392","118.87","1979-10-18","  30.4","000000","999.9","  59.0","  28.4","  5.1"," 0.00","9999.9","999.9","999.9","  35.4"," 16.3","  2.4"
"02944099999","61.414147","23.604392","118.87","1979-10-19","  36.3","010000","999.9","  39.2","  35.6","  7.0"," 0.12","9999.9","999.9","999.9","  37.0","  3.0","  3.4"
"02944099999","61.414147","23.604392","118.87","1979-10-20","  41.2","010000","999.9","  60.8","  37.4"," 11.1"," 0.13","9999.9","999.9","999.9","  45.3"," 14.8","  8.4"
"02944099999","61.414147","23.604392","118.87","1979-10-21","  34.0","000000","999.9","  42.8","  33.8"," 12.0"," 0.00","9999.9","999.9","999.9","  39.2"," 21.7","  7.7"
"02944099999","61.414147","23.604392","118.87","1979-10-22","  26.1","000000","999.9","  37.4","  30.2","  8.0"," 0.00","9999.9","999.9","999.9","  32.7"," 23.3","  6.0"
"02944099999","61.414147","23.604392","118.87","1979-10-23","  32.7","000000","999.9","  46.4","  32.0","  8.9"," 0.00","9999.9","999.9","999.9","  39.2"," 24.9","  7.4"
"02944099999","61.414147","23.604392","118.87","1979-10-24","  25.0","000000","999.9","  39.2","  21.2","  4.1"," 0.00","9999.9","999.9","999.9","  29.8"," 23.3","  2.1"
"02944099999","61.414147","23.604392","118.87","1979-10-25","  31.1","100000","999.9","  37.4","  26.6","  6.0"," 0.00","9999.9","999.9","999.9","  33.6","  6.7","  3.4"
