"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"15247099999","45.809861","21.337861","106.07","1973-01-25","9999.9","000000","999.9","  35.6","  32.0","  3.9"," 0.00","1036.3","999.9","999.9","  32.5","  1.5","  3.4"
"15247099999","45.809861","21.337861","106.07","1973-02-22","  40.3","010000","999.9","  46.4","  37.4","  9.7"," 0.08","1009.3","999.9","999.9","  42.1","  2.4","  7.0"
"15247099999","45.809861","21.337861","106.07","1973-03-14","  28.9","011000","999.9","  41.0","  30.2","  9.7"," 0.01","1013.7","  0.4","999.9","  35.2","  3.7","  4.4"
"15247099999","45.809861","21.337861","106.07","1973-03-29","  30.9","000000","999.9","  60.8","  41.0","  7.8"," 0.00","1017.8","999.9","999.9","  54.7","  6.8","  5.8"
"15247099999","45.809861","21.337861","106.07","1973-04-02","  36.0","010000","999.9","  60.8","  39.2","  7.8"," 0.01","1012.0","999.9","999.9","  51.3","  4.3","  3.4"
"15247099999","45.809861","21.337861","106.07","1973-04-03","  38.8","000000","999.9","  62.6","  42.8","  9.7"," 0.00","1004.4","999.9","999.9","  55.4","  4.7","  8.3"
"15247099999","45.809861","21.337861","106.07","1973-04-06","9999.9","100000","999.9","  59.0","  42.8","  3.9"," 0.00","1017.0","  7.9","999.9","  50.0","  1.9","  2.9"
"15247099999","45.809861","21.337861","106.07","1973-04-11","  40.6","010000","999.9","  53.6","  42.8","  9.7"," 0.09","1009.2","999.9","999.9","  47.8","  6.0","  4.7"
"15247099999","45.809861","21.337861","106.07","1973-04-12","  37.8","100000","999.9","  55.4","  32.0","  5.8"," 0.04","1011.0","999.9","999.9","  41.7","  3.2","  1.2"
"15247099999","45.809861","21.337861","106.07","1973-04-15","  37.0","010000","999.9","  42.8","  32.0","  5.8"," 0.24","1015.1","999.9","999.9","  37.0","  3.0","  2.7"
"15247099999","45.809861","21.337861","106.07","1973-04-23","9999.9","000000","999.9","  59.0","  32.0","  7.8"," 0.00","1017.6","999.9","999.9","  45.5","  4.0","  2.9"
"15247099999","45.809861","21.337861","106.07","1973-05-01","  47.3","000000","999.9","  78.8","  48.2","  7.8"," 0.00","1019.5","999.9","999.9","  66.2","  8.3","  4.2"
"15247099999","45.809861","21.337861","106.07","1973-05-02","  54.5","000000","999.9","  82.4","  59.0"," 11.7"," 0.00","1015.7","999.9","999.9","  72.1","  6.2","  5.3"
