"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"02890099999","69.75","27.0166666","76.0","2013-08-05","  57.4","000000","999.9","  69.8","  54.5","999.9"," 0.00","9999.9","999.9","999.9","  63.8","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-06","  52.9","000000","999.9","  72.0","  52.7","999.9"," 0.00","9999.9","999.9","999.9","  62.7","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-07","  54.4","000000","999.9","  75.4","  51.8","999.9"," 0.00","9999.9","999.9","999.9","  64.4","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-08","  49.7","000000","999.9","  61.3","  49.6","999.9"," 0.00","9999.9","999.9","999.9","  55.4","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-09","  43.3","000000","999.9","  58.6","  43.0","999.9"," 0.00","9999.9","999.9","999.9","  52.3","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-10","  41.6","000000","999.9","  56.7","  39.2","999.9"," 0.00","9999.9","999.9","999.9","  48.6","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-11","  42.9","000000","999.9","  67.3","  35.6","999.9"," 0.00","9999.9","999.9","999.9","  54.0","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-12","  44.2","000000","999.9","  66.9","  41.4","999.9"," 0.00","9999.9","999.9","999.9","  53.9","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-13","  46.6","000000","999.9","  60.8","  43.3","999.9"," 0.00","9999.9","999.9","999.9","  52.4","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-14","  46.3","000000","999.9","  57.2","  41.2","999.9"," 0.00","9999.9","999.9","999.9","  51.9","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-15","  46.3","000000","999.9","  62.8","  41.2","999.9"," 0.00","9999.9","999.9","999.9","  54.8","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-16","  43.9","000000","999.9","  62.4","  40.5","999.9"," 0.00","9999.9","999.9","999.9","  52.3","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-17","  47.0","000000","999.9","  62.6","  37.9","999.9"," 0.00","9999.9","999.9","999.9","  54.4","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-18","  54.8","000000","999.9","  64.4","  54.3","999.9"," 0.00","9999.9","999.9","999.9","  58.7","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-19","  55.5","000000","999.9","  66.7","  52.3","999.9"," 0.00","9999.9","999.9","999.9","  60.0","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-20","  48.1","000000","999.9","  66.7","  46.2","999.9"," 0.00","9999.9","999.9","999.9","  56.9","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-21","  43.5","000000","999.9","  63.5","  42.1","999.9"," 0.00","9999.9","999.9","999.9","  55.3","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-22","  43.0","000000","999.9","  57.2","  37.8","999.9"," 0.00","9999.9","999.9","999.9","  47.4","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-23","  46.2","000000","999.9","  59.2","  45.1","999.9"," 0.00","9999.9","999.9","999.9","  53.0","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-24","  45.4","000000","999.9","  55.8","  50.5","999.9"," 0.00","9999.9","999.9","999.9","  53.6","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-25","  47.0","000000","999.9","  59.9","  45.1","999.9"," 0.00","9999.9","999.9","999.9","  52.9","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-26","  49.5","000000","999.9","  70.0","  41.9","999.9"," 0.00","9999.9","999.9","999.9","  56.2","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-27","  50.9","000000","999.9","  66.0","  49.8","999.9"," 0.00","9999.9","999.9","999.9","  56.6","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-28","  48.7","000000","999.9","  64.9","  39.2","999.9"," 0.00","9999.9","999.9","999.9","  52.1","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-29","  40.4","000000","999.9","  58.8","  35.2","999.9"," 0.00","9999.9","999.9","999.9","  47.8","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-30","  41.2","000000","999.9","  53.6","  41.7","999.9"," 0.00","9999.9","999.9","999.9","  48.8","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-08-31","  41.0","000000","999.9","  54.9","  39.0","999.9"," 0.00","9999.9","999.9","999.9","  48.0","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-09-01","  44.7","000000","999.9","  51.6","  44.8","999.9"," 0.00","9999.9","999.9","999.9","  48.7","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-09-02","  45.3","000000","999.9","  56.1","  47.5","999.9"," 0.00","9999.9","999.9","999.9","  51.4","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-09-03","  44.9","000000","999.9","  56.5","  42.1","999.9"," 0.00","9999.9","999.9","999.9","  49.4","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-09-04","  45.0","000000","999.9","  53.1","  41.2","999.9"," 0.00","9999.9","999.9","999.9","  47.1","999.9","999.9"
"02890099999","69.75","27.0166666","76.0","2013-09-05","  50.6","000000","999.9","  67.5","  41.2","999.9"," 0.00","9999.9","999.9","999.9","  55.2","999.9","999.9"
